"country","iso2c","year","lower_95","lower_90","median","upper_90","upper_95"
"Argentina","AR","1990",0.264,0.61,1.76,2.568,2.604
"Argentina","AR","1991",0.48,0.746,1.793,2.523,2.603
"Argentina","AR","1992",0.612,0.835,1.83,2.52,2.644
"Argentina","AR","1993",0.868,1.017,1.873,2.555,2.784
"Argentina","AR","1994",1.002,1.195,1.949,2.671,2.823
"Argentina","AR","1995",1.052,1.268,2.031,2.716,2.872
"Argentina","AR","1996",1.142,1.359,2.071,2.806,2.981
"Argentina","AR","1997",1.201,1.358,2.13,2.903,3.138
"Argentina","AR","1998",1.269,1.425,2.2,3.113,3.37
"Argentina","AR","1999",1.241,1.476,2.238,3.376,3.618
"Argentina","AR","2000",1.288,1.434,2.289,3.513,3.866
"Argentina","AR","2001",1.32,1.53,2.342,3.788,4.107
"Argentina","AR","2002",1.455,1.485,2.394,3.976,4.387
"Argentina","AR","2003",1.476,1.535,2.44,4.237,4.773
"Argentina","AR","2004",1.362,1.494,2.467,4.432,4.97
"Argentina","AR","2005",1.464,1.496,2.513,4.535,5.101
"Argentina","AR","2006",1.441,1.533,2.555,4.821,5.444
"Argentina","AR","2007",1.512,1.528,2.597,4.988,5.683
"Argentina","AR","2008",1.462,1.532,2.623,5.047,5.842
"Argentina","AR","2009",1.435,1.479,2.653,5.193,5.965
"Argentina","AR","2010",1.403,1.441,2.672,5.109,6.006
"Argentina","AR","2011",1.349,1.514,2.658,5.266,6.047
"Aruba","AW","1990",-0.745,-0.733,-0.667,-0.615,-0.606
"Aruba","AW","1991",-0.692,-0.69,-0.632,-0.584,-0.573
"Aruba","AW","1992",-0.688,-0.679,-0.623,-0.575,-0.569
"Aruba","AW","1993",-0.681,-0.671,-0.618,-0.557,-0.555
"Aruba","AW","1994",-0.679,-0.669,-0.611,-0.556,-0.549
"Aruba","AW","1995",-0.67,-0.664,-0.608,-0.554,-0.541
"Aruba","AW","1996",-0.669,-0.66,-0.605,-0.554,-0.545
"Aruba","AW","1997",-0.671,-0.659,-0.604,-0.547,-0.54
"Aruba","AW","1998",-0.668,-0.662,-0.603,-0.546,-0.535
"Aruba","AW","1999",-0.67,-0.663,-0.603,-0.547,-0.534
"Aruba","AW","2000",-0.67,-0.66,-0.602,-0.535,-0.53
"Aruba","AW","2001",-0.67,-0.661,-0.602,-0.536,-0.526
"Aruba","AW","2002",-0.669,-0.655,-0.601,-0.535,-0.532
"Aruba","AW","2003",-0.662,-0.662,-0.601,-0.537,-0.519
"Aruba","AW","2004",-0.663,-0.665,-0.6,-0.541,-0.517
"Aruba","AW","2005",-0.672,-0.662,-0.596,-0.548,-0.541
"Aruba","AW","2006",-0.671,-0.662,-0.598,-0.547,-0.541
"Aruba","AW","2007",-0.678,-0.667,-0.606,-0.551,-0.543
"Aruba","AW","2008",-0.678,-0.671,-0.61,-0.556,-0.546
"Aruba","AW","2009",-0.681,-0.673,-0.615,-0.562,-0.556
"Aruba","AW","2010",-0.688,-0.684,-0.627,-0.581,-0.574
"Aruba","AW","2011",-0.731,-0.723,-0.665,-0.61,-0.599
"Australia","AU","1990",-0.319,-0.25,0.225,0.692,0.789
"Australia","AU","1991",-0.315,-0.219,0.211,0.669,0.741
"Australia","AU","1992",-0.314,-0.236,0.206,0.657,0.76
"Australia","AU","1993",-0.3,-0.219,0.204,0.668,0.756
"Australia","AU","1994",-0.284,-0.198,0.205,0.672,0.746
"Australia","AU","1995",-0.272,-0.198,0.209,0.654,0.737
"Australia","AU","1996",-0.24,-0.17,0.212,0.667,0.75
"Australia","AU","1997",-0.276,-0.178,0.226,0.666,0.719
"Australia","AU","1998",-0.231,-0.13,0.244,0.69,0.762
"Australia","AU","1999",-0.194,-0.113,0.259,0.701,0.793
"Australia","AU","2000",-0.174,-0.136,0.269,0.704,0.833
"Australia","AU","2001",-0.176,-0.145,0.28,0.72,0.846
"Australia","AU","2002",-0.149,-0.113,0.305,0.76,0.864
"Australia","AU","2003",-0.142,-0.078,0.338,0.817,0.924
"Australia","AU","2004",-0.098,-0.068,0.364,0.835,0.957
"Australia","AU","2005",-0.073,-0.056,0.41,0.878,1.029
"Australia","AU","2006",-0.065,-0.01,0.464,0.983,1.088
"Australia","AU","2007",-0.077,0.007,0.504,1.1,1.215
"Australia","AU","2008",-0.065,-0.032,0.555,1.198,1.374
"Australia","AU","2009",-0.068,-0.045,0.577,1.312,1.515
"Australia","AU","2010",-0.082,-0.037,0.586,1.393,1.594
"Australia","AU","2011",-0.083,-0.037,0.588,1.434,1.696
"Austria","AT","1990",-0.565,-0.517,-0.111,0.568,0.698
"Austria","AT","1991",-0.509,-0.465,-0.112,0.326,0.406
"Austria","AT","1992",-0.515,-0.461,-0.148,0.246,0.312
"Austria","AT","1993",-0.572,-0.499,-0.196,0.196,0.254
"Austria","AT","1994",-0.596,-0.54,-0.226,0.116,0.242
"Austria","AT","1995",-0.564,-0.541,-0.276,0.049,0.151
"Austria","AT","1996",-0.612,-0.611,-0.339,-0.082,0.008
"Austria","AT","1997",-0.64,-0.638,-0.473,-0.216,-0.129
"Austria","AT","1998",-1.137,-1.069,-0.868,-0.697,-0.684
"Austria","AT","1999",-0.787,-0.769,-0.698,-0.629,-0.616
"Austria","AT","2000",-0.624,-0.608,-0.372,-0.153,-0.063
"Austria","AT","2001",-0.575,-0.56,-0.263,0.063,0.143
"Austria","AT","2002",-0.569,-0.531,-0.204,0.211,0.405
"Austria","AT","2003",-0.575,-0.575,-0.167,0.308,0.474
"Austria","AT","2004",-0.533,-0.533,-0.152,0.383,0.704
"Austria","AT","2005",-0.557,-0.518,-0.101,0.415,0.581
"Austria","AT","2006",-0.511,-0.469,-0.078,0.439,0.595
"Austria","AT","2007",-0.489,-0.424,-0.053,0.363,0.449
"Austria","AT","2008",-0.473,-0.498,-0.085,0.43,0.641
"Austria","AT","2009",-0.514,-0.497,-0.101,0.285,0.432
"Austria","AT","2010",-0.528,-0.473,-0.101,0.326,0.439
"Austria","AT","2011",-0.564,-0.514,-0.1,0.398,0.509
"Bahamas, The","BS","1990",1.192,1.336,1.882,2.537,2.637
"Bahamas, The","BS","1991",1.165,1.32,1.887,2.527,2.621
"Bahamas, The","BS","1992",1.19,1.371,1.89,2.577,2.629
"Bahamas, The","BS","1993",1.248,1.361,1.888,2.556,2.674
"Bahamas, The","BS","1994",1.224,1.352,1.882,2.535,2.633
"Bahamas, The","BS","1995",1.24,1.323,1.873,2.51,2.649
"Bahamas, The","BS","1996",1.224,1.339,1.884,2.505,2.635
"Bahamas, The","BS","1997",1.252,1.349,1.885,2.527,2.669
"Bahamas, The","BS","1998",1.236,1.35,1.873,2.522,2.679
"Bahamas, The","BS","1999",1.218,1.333,1.871,2.515,2.671
"Bahamas, The","BS","2000",1.154,1.333,1.888,2.54,2.656
"Bahamas, The","BS","2001",1.214,1.339,1.892,2.538,2.733
"Bahamas, The","BS","2002",1.234,1.354,1.88,2.539,2.74
"Bahamas, The","BS","2003",1.185,1.353,1.89,2.544,2.69
"Bahamas, The","BS","2004",1.185,1.327,1.894,2.547,2.714
"Bahamas, The","BS","2005",1.162,1.337,1.886,2.564,2.688
"Bahamas, The","BS","2006",1.186,1.344,1.887,2.568,2.707
"Bahamas, The","BS","2007",1.201,1.387,1.894,2.602,2.692
"Bahamas, The","BS","2008",1.167,1.361,1.889,2.58,2.692
"Bahamas, The","BS","2009",1.158,1.33,1.897,2.571,2.705
"Bahamas, The","BS","2010",1.182,1.32,1.914,2.566,2.721
"Bahamas, The","BS","2011",1.165,1.299,1.917,2.562,2.732
"Bahrain","BH","1990",-0.671,-0.682,-0.579,-0.472,-0.426
"Bahrain","BH","1991",-0.68,-0.659,-0.566,-0.465,-0.447
"Bahrain","BH","1992",-0.641,-0.621,-0.491,-0.319,-0.289
"Bahrain","BH","1993",-0.589,-0.552,-0.331,0.072,0.175
"Bahrain","BH","1994",-0.594,-0.556,-0.236,0.286,0.505
"Bahrain","BH","1995",-0.55,-0.53,-0.18,0.461,0.731
"Bahrain","BH","1996",-0.553,-0.533,-0.179,0.525,0.795
"Bahrain","BH","1997",-0.57,-0.557,-0.198,0.502,0.777
"Bahrain","BH","1998",-0.567,-0.556,-0.243,0.383,0.653
"Bahrain","BH","1999",-0.598,-0.577,-0.333,0.2,0.398
"Bahrain","BH","2000",-0.657,-0.639,-0.458,-0.127,0.015
"Bahrain","BH","2001",-0.779,-0.76,-0.684,-0.616,-0.611
"Bahrain","BH","2002",-0.789,-0.77,-0.703,-0.613,-0.612
"Bahrain","BH","2003",-0.8,-0.78,-0.702,-0.624,-0.614
"Bahrain","BH","2004",-0.778,-0.761,-0.693,-0.619,-0.611
"Bahrain","BH","2005",-0.673,-0.66,-0.527,-0.346,-0.268
"Bahrain","BH","2006",-0.673,-0.658,-0.571,-0.46,-0.438
"Bahrain","BH","2007",-0.683,-0.667,-0.57,-0.467,-0.421
"Bahrain","BH","2008",-0.677,-0.65,-0.571,-0.447,-0.438
"Bahrain","BH","2009",-0.679,-0.669,-0.556,-0.446,-0.413
"Bahrain","BH","2010",-0.682,-0.666,-0.59,-0.5,-0.485
"Bahrain","BH","2011",-0.797,-0.782,-0.704,-0.628,-0.615
"Barbados","BB","1990",-0.497,-0.449,-0.094,0.354,0.452
"Barbados","BB","1991",-0.455,-0.413,-0.071,0.303,0.39
"Barbados","BB","1992",-0.462,-0.414,-0.098,0.293,0.377
"Barbados","BB","1993",-0.606,-0.437,-0.098,0.351,0.341
"Barbados","BB","1994",-0.492,-0.485,-0.083,0.268,0.391
"Barbados","BB","1995",-0.44,-0.398,-0.056,0.282,0.392
"Barbados","BB","1996",-0.458,-0.443,-0.072,0.262,0.397
"Barbados","BB","1997",-0.453,-0.4,-0.057,0.279,0.382
"Barbados","BB","1998",-0.45,-0.43,-0.09,0.281,0.392
"Barbados","BB","1999",-0.461,-0.426,-0.093,0.256,0.359
"Barbados","BB","2000",-0.462,-0.404,-0.048,0.275,0.346
"Barbados","BB","2001",-0.488,-0.436,-0.043,0.334,0.477
"Barbados","BB","2002",-0.466,-0.399,-0.055,0.357,0.409
"Barbados","BB","2003",-0.457,-0.447,-0.084,0.358,0.479
"Barbados","BB","2004",-0.556,-0.473,-0.098,0.303,0.486
"Barbados","BB","2005",-0.491,-0.483,-0.161,0.274,0.349
"Barbados","BB","2006",-0.547,-0.503,-0.216,0.203,0.29
"Barbados","BB","2007",-0.573,-0.534,-0.259,0.011,0.113
"Barbados","BB","2008",-0.598,-0.575,-0.349,-0.087,0.012
"Barbados","BB","2009",-0.634,-0.638,-0.482,-0.258,-0.171
"Barbados","BB","2010",-0.937,-0.906,-0.79,-0.672,-0.654
"Barbados","BB","2011",-1.009,-0.965,-0.841,-0.698,-0.68
"Belgium","BE","1990",-0.616,-0.529,-0.239,0.156,0.22
"Belgium","BE","1991",-0.545,-0.495,-0.269,0.048,0.123
"Belgium","BE","1992",-0.534,-0.508,-0.273,-0.037,0.042
"Belgium","BE","1993",-0.56,-0.56,-0.351,-0.1,-0.037
"Belgium","BE","1994",-0.636,-0.6,-0.453,-0.265,-0.23
"Belgium","BE","1995",-0.602,-0.548,-0.384,-0.109,-0.083
"Belgium","BE","1996",-0.619,-0.615,-0.411,-0.189,-0.089
"Belgium","BE","1997",-0.658,-0.633,-0.47,-0.277,-0.176
"Belgium","BE","1998",-0.751,-0.738,-0.675,-0.612,-0.606
"Belgium","BE","1999",-0.72,-0.712,-0.661,-0.61,-0.604
"Belgium","BE","2000",-0.636,-0.592,-0.438,-0.216,-0.187
"Belgium","BE","2001",-0.628,-0.576,-0.344,-0.063,0.056
"Belgium","BE","2002",-0.598,-0.559,-0.271,0.037,0.264
"Belgium","BE","2003",-0.564,-0.53,-0.227,0.094,0.333
"Belgium","BE","2004",-0.545,-0.517,-0.214,0.154,0.378
"Belgium","BE","2005",-0.524,-0.507,-0.198,0.21,0.399
"Belgium","BE","2006",-0.48,-0.513,-0.178,0.231,0.551
"Belgium","BE","2007",-0.482,-0.488,-0.159,0.309,0.54
"Belgium","BE","2008",-0.471,-0.496,-0.156,0.333,0.527
"Belgium","BE","2009",-0.529,-0.471,-0.108,0.31,0.423
"Belgium","BE","2010",-0.497,-0.432,-0.097,0.462,0.488
"Belgium","BE","2011",-0.561,-0.53,-0.114,0.371,0.511
"Brazil","BR","1990",-0.368,-0.199,0.757,1.871,2.062
"Brazil","BR","1991",-0.346,-0.106,1.228,2.649,2.955
"Brazil","BR","1992",-0.235,-0.022,1.52,2.869,3.379
"Brazil","BR","1993",-0.207,0.127,1.541,3.091,3.383
"Brazil","BR","1994",-0.083,0.309,1.48,3.321,3.368
"Brazil","BR","1995",-0.246,0.046,1.503,3.066,3.38
"Brazil","BR","1996",-0.049,0.372,1.979,3.678,3.91
"Brazil","BR","1997",0.127,0.359,2.444,4.522,5.293
"Brazil","BR","1998",0.577,0.967,3.195,5.673,6.356
"Brazil","BR","1999",1.357,1.881,4.305,8.64,8.763
"Brazil","BR","2000",2.123,2.887,5.888,11.521,11.643
"Brazil","BR","2001",2.631,2.887,7.257,12.879,14.645
"Brazil","BR","2002",2.768,3.197,8.411,14.603,17.132
"Brazil","BR","2003",3.238,3.241,9.269,16.342,19.439
"Brazil","BR","2004",2.909,3.856,10.096,18.097,21.106
"Brazil","BR","2005",3.27,3.877,10.716,18.64,23.084
"Brazil","BR","2006",3.214,3.899,11.252,19.56,24.42
"Brazil","BR","2007",3.422,3.756,11.589,20.646,26.533
"Brazil","BR","2008",3.348,3.946,11.849,21.771,28.553
"Brazil","BR","2009",2.791,3.917,12.021,22.398,28.658
"Brazil","BR","2010",3.002,4.023,12.019,23.229,29.728
"Brazil","BR","2011",2.726,3.248,11.969,23.117,29.901
"Brunei Darussalam","BN","1990",-3.216,-3.062,-2.13,-1.11,-1.003
"Brunei Darussalam","BN","1991",-4.206,-3.868,-2.506,-1.253,-1.046
"Brunei Darussalam","BN","1992",-5.136,-4.381,-2.783,-1.199,-1.088
"Brunei Darussalam","BN","1993",-5.635,-4.789,-2.818,-1.217,-1.045
"Brunei Darussalam","BN","1994",-6.167,-4.808,-2.801,-1.044,-0.995
"Brunei Darussalam","BN","1995",-5.755,-4.781,-2.638,-1.085,-0.99
"Brunei Darussalam","BN","1996",-5.136,-4.262,-2.364,-1.036,-0.914
"Brunei Darussalam","BN","1997",-4.275,-3.529,-1.936,-0.924,-0.853
"Brunei Darussalam","BN","1998",-3.08,-2.633,-1.452,-0.844,-0.796
"Brunei Darussalam","BN","1999",-0.875,-0.847,-0.735,-0.637,-0.635
"Brunei Darussalam","BN","2000",-0.8,-0.781,-0.702,-0.624,-0.612
"Brunei Darussalam","BN","2001",-0.617,-0.596,-0.251,0.206,0.398
"Brunei Darussalam","BN","2002",-0.622,-0.586,-0.103,0.419,0.612
