"country","iso2c","year","lower_95","lower_90","median","upper_90","upper_95"
"Algeria","DZ","1998",0.364359464116214,0.522679568026615,3.3413921341884,12.3263092792358,12.8905801684565
"Algeria","DZ","1999",0.420053274758207,0.561141556449488,3.54942217837479,12.4245817217101,12.9422744878012
"Algeria","DZ","2000",0.407473525766315,0.536219553104406,3.88120535437477,12.5813427861655,12.9948879968223
"Algeria","DZ","2001",0.351543049324489,0.486007799883264,4.26864325946582,12.6383666871213,13.1054765680908
"Algeria","DZ","2002",0.258502271174457,0.410112126937747,4.42095217976633,12.761832933798,13.1967951559624
"Algeria","DZ","2003",0.18719305573677,0.341913619311505,4.17725691079161,12.8310813238174,13.2488365980157
"Algeria","DZ","2004",0.170102481875032,0.313130361776322,4.47209331550511,12.907321356348,13.4202532109591
"Algeria","DZ","2005",0.156408427256639,0.305262419296729,4.56588832219987,12.9776375106726,13.6298457410647
"Algeria","DZ","2006",0.176714001890489,0.307962088817813,4.55939386685093,13.1223260151654,13.7284585249927
"Algeria","DZ","2007",0.149609732955842,0.306585696919301,4.58145891696703,13.1564936690946,13.7922495572217
"Algeria","DZ","2008",0.145396415331409,0.29647588591037,4.33829046614243,13.2771464152169,13.8188478657525
"Algeria","DZ","2009",0.0983033140155471,0.259113770245156,4.21983215785005,13.291790020193,13.837128409649
"Algeria","DZ","2010",0.0687358523561946,0.23029888561358,4.51070265472994,13.3713922241405,13.9205239677726
"Algeria","DZ","2011",-0.0567097592384971,0.13954262290214,4.22630572284225,13.4332081347661,14.0139706616436
"Argentina","AR","1998",-4.12994435101305,-3.64801974004557,-0.434976009199974,2.1375957400805,2.44861225532095
"Argentina","AR","1999",-4.21509121287577,-3.6851791281117,-0.387917662115941,2.17983059129574,2.45494525236193
"Argentina","AR","2000",-4.29713045041683,-3.76165565499197,-0.317154592024064,2.25483499779261,2.52486206909367
"Argentina","AR","2001",-4.26161900528497,-3.82183071695112,-0.223486969593924,2.32966355778154,2.6290047127393
"Argentina","AR","2002",-4.39627907268888,-4.00732963176948,-0.375702439892466,2.19237053205994,2.48279379276203
"Argentina","AR","2003",-4.66007232644907,-4.2549905158909,-0.741799372944853,1.80326496212563,2.07705610536173
"Argentina","AR","2004",-4.85218819899014,-4.50406958007708,-0.987047672433344,1.52392430625835,1.81993135892769
"Argentina","AR","2005",-5.12744388722986,-4.72965464221748,-1.16173355202388,1.29779041725089,1.63527111389502
"Argentina","AR","2006",-5.34123371268588,-4.95567873957669,-1.36618213934001,1.09651423883939,1.37716074254111
"Argentina","AR","2007",-5.45056855374992,-5.04040184042027,-1.51528730351879,1.0351341808658,1.28649092057716
"Argentina","AR","2008",-5.51768582705009,-5.15345148361256,-1.51061119712133,1.02673892451642,1.31310046385705
"Argentina","AR","2009",-5.59899003072633,-5.22987284120572,-1.59478156508192,1.02645276883137,1.30934109462921
"Argentina","AR","2010",-5.67292332074407,-5.30352935670766,-1.61489301265335,1.08603978645497,1.3418011623118
"Argentina","AR","2011",-5.83116794141081,-5.4386443041464,-1.57224465615288,1.19247506381999,1.48838624562986
"Australia","AU","1998",-2.85868695484907,-2.48420667520794,-0.914509752557475,0.406296309163681,0.664374288341537
"Australia","AU","1999",-2.88741573128622,-2.56396060408836,-0.960915587313211,0.312670238879959,0.554842449049273
"Australia","AU","2000",-2.99967582749792,-2.67582672715409,-1.03244200059688,0.228199367575019,0.482334895727168
"Australia","AU","2001",-3.07541495668008,-2.79381391594883,-1.07550338249314,0.155628061092386,0.373372492968875
"Australia","AU","2002",-3.16999798371053,-2.89662093503666,-1.15488849107326,0.0886134965605028,0.328657092825337
"Australia","AU","2003",-3.28461201438568,-3.01138688408729,-1.1992929026923,0.0683266621058033,0.317659101840193
"Australia","AU","2004",-3.44975278930155,-3.11096214998696,-1.26172032634545,0.0591410227531089,0.323959074724733
"Australia","AU","2005",-3.60140561082655,-3.25571850064186,-1.30920751502298,0.0533054934963307,0.329395625347411
"Australia","AU","2006",-3.75766787043946,-3.40908153347973,-1.34181249038288,0.0382957606679169,0.29740568002131
"Australia","AU","2007",-3.97784853003136,-3.62819214682394,-1.36492665006318,0.0701834518982343,0.336848999461948
"Australia","AU","2008",-4.26348490869657,-3.82767288459218,-1.42553595519254,0.159636036256422,0.429863297547882
"Australia","AU","2009",-4.4511505771753,-4.03911206604432,-1.40725184354195,0.29722431156001,0.577955724106634
"Australia","AU","2010",-4.56354058502354,-4.10153910061246,-1.34990624619728,0.466922483842497,0.748392159068068
"Australia","AU","2011",-4.68165659842033,-4.1696314008505,-1.31728797107614,0.659828106063516,0.966658126191188
"Austria","AT","1998",-4.22352265397672,-4.08300654004767,-0.298655761497923,3.45303696929205,3.612609821487
"Austria","AT","1999",-3.31471383967438,-3.21923344405117,-0.351398526656028,2.42138853523023,2.52702758809507
"Austria","AT","2000",-2.36200472750912,-2.25926035648581,-0.344531813655361,1.45958793684374,1.55636250021586
"Austria","AT","2001",-2.04006397542367,-1.90219986212604,-0.474943729153255,1.0262946519404,1.17372000347821
"Austria","AT","2002",-1.92556564581818,-1.76684751538033,-0.645400282465,0.661353399392526,0.821876300167796
"Austria","AT","2003",-1.89217311217332,-1.73838752062225,-0.737153731440632,0.427769299618033,0.614561961059282
"Austria","AT","2004",-1.98021957358236,-1.79552380120071,-0.804053148696113,0.314139160680355,0.506120035588082
"Austria","AT","2005",-2.09970090719843,-1.86585214758913,-0.825408819322364,0.220969549792583,0.417033256291432
"Austria","AT","2006",-2.22014595631447,-1.94899913605861,-0.858845416617121,0.200802905768032,0.400759581675142
"Austria","AT","2007",-2.35541218122651,-2.04471506950358,-0.874422332561542,0.21644860893729,0.412431308372972
"Austria","AT","2008",-2.43045642503806,-2.09980101045052,-0.86492030653609,0.237416780170174,0.45321695674347
"Austria","AT","2009",-2.48072210601708,-2.1422076021021,-0.819618944913184,0.333539230833112,0.532699982637447
"Austria","AT","2010",-2.43388301467412,-2.13377989137271,-0.769691555372885,0.492539733835843,0.707440296261939
"Austria","AT","2011",-2.56649854791419,-2.20618883459542,-0.733841796012416,0.690520168828743,0.936877011948543
"Belgium","BE","1998",-3.95887037815017,-3.84219678406954,-0.370660548019067,3.1001432548101,3.23625071425956
