"Parameter","lower_95","lower_90","median","upper_90","upper_95"
"Private credit by deposit money banks to GDP (%)",-26.402598964462,-24.5185870229358,-13.287605654117,-8.75801259572128,-8.06650535155267
"Private credit by deposit money banks and other financial institutions to GDP (%)",-22.1761249415431,-20.1415269267411,-14.2679643362804,-8.41702167030817,-7.74970722024148
"Pension fund assets to GDP (%)",-2.47046761383964,-2.42232052510311,-1.98113844156266,-1.65286595516442,-1.50664292482355
"Domestic credit to private sector (% of GDP)",-0.761195068568329,-0.543195140500184,0.517516576927648,1.32826696606622,1.52004184940635
"Bank lending-deposit spread",-0.136436698370898,-0.112729009908924,0.0147071736581241,0.168182852076775,0.199342513505704
"Credit to government and state owned enterprises to GDP (%)",-0.948549722407453,-0.55046620558317,0.100894531688905,0.829866982473754,0.963065359017278
"Bank deposits to GDP (%)",-6.83627890023197,-6.23137288963305,-4.22030904070016,-2.712571690403,-2.52104798284606
"Liquid liabilities in millions USD (2000 constant)",0.306836916150125,0.367932962467438,0.913024997058983,1.26963184231792,1.32732152914366
"Bank nonperforming loans to gross loans (%)",-1.60695567422389,-1.57135822747745,-1.16894895424617,-0.781589850414453,-0.703022042731253
"Bank capital to total assets (%)",-1.86519490182765,-1.76158638206802,-1.29761177193997,-0.967494534291294,-0.89382315826862
"Bank credit to bank deposits (%)",-1.30947307416638,-1.20400921161303,-0.490125942961558,0.165503905070808,0.246636782705435
"Deposit money banks' assets to GDP (%)",-20.9449089543014,-20.313608195079,-13.5981602207939,-9.64448116363975,-9.15643312563003
"Bank regulatory capital to risk-weighted assets (%)",-1.98326573959233,-1.91259537440924,-1.47012589928653,-1.05848315342915,-0.989789914955905
"Provisions to nonperforming loans (%)",-1.69241008503032,-1.66193975348419,-1.35265625635293,-1.05452623736847,-1.00087074287153
"Nonbank financial institutions assets to GDP (%)",-2.13289478331289,-2.09979804438361,-1.85113999002192,-1.6463419748542,-1.61707322344109
"Deposit money bank assets to deposit money bank assets and central bank assets (%)",-0.88813655896776,-0.843876015564271,-0.460326285673794,-0.0906565215587235,-0.053064703401594
"Liquid liabilities to GDP (%)",-1.01745825001471,-0.949685591048834,-0.342464828381556,0.274479094209252,0.341393284730749
"Central bank assets to GDP (%)",-1.19046211862225,-1.11617548913513,-0.706732434421794,-0.307073581029067,-0.234009491993341
"Mutual fund assets to GDP (%)",-2.17261252031318,-2.14674234070967,-1.76471554335416,-1.360502162509,-1.31819160550696
"Financial system deposits to GDP (%)",-7.75452091844377,-7.0855874372135,-4.3582695485376,-2.84105568751094,-2.71473778755764
"Insurance company assets to GDP (%)",-1.71638575622729,-1.63094656079442,-1.28665666795855,-0.921207317752607,-0.873800625593137
