"country","iso2c","year","FRT_PropReport"
"Australia","AU",1998,0.894736842105263
"Australia","AU",1999,0.894736842105263
"Australia","AU",2000,0.947368421052632
"Australia","AU",2001,0.947368421052632
"Australia","AU",2002,0.947368421052632
"Australia","AU",2003,0.947368421052632
"Australia","AU",2004,0.947368421052632
"Australia","AU",2005,0.947368421052632
"Australia","AU",2006,0.947368421052632
"Australia","AU",2007,0.947368421052632
"Australia","AU",2008,1
"Australia","AU",2009,1
"Australia","AU",2010,0.947368421052632
"Australia","AU",2011,0.842105263157895
"Austria","AT",1998,0.157894736842105
"Austria","AT",1999,0.473684210526316
"Austria","AT",2000,0.894736842105263
"Austria","AT",2001,0.894736842105263
"Austria","AT",2002,0.947368421052632
"Austria","AT",2003,0.947368421052632
"Austria","AT",2004,0.947368421052632
"Austria","AT",2005,0.947368421052632
"Austria","AT",2006,0.947368421052632
"Austria","AT",2007,0.947368421052632
"Austria","AT",2008,0.947368421052632
"Austria","AT",2009,0.947368421052632
"Austria","AT",2010,0.894736842105263
"Austria","AT",2011,0.842105263157895
"Belgium","BE",1998,0.263157894736842
"Belgium","BE",1999,0.526315789473684
"Belgium","BE",2000,0.947368421052632
"Belgium","BE",2001,0.947368421052632
"Belgium","BE",2002,0.947368421052632
"Belgium","BE",2003,0.947368421052632
"Belgium","BE",2004,0.947368421052632
"Belgium","BE",2005,0.947368421052632
"Belgium","BE",2006,0.947368421052632
"Belgium","BE",2007,0.947368421052632
"Belgium","BE",2008,0.947368421052632
"Belgium","BE",2009,0.947368421052632
"Belgium","BE",2010,0.947368421052632
"Belgium","BE",2011,0.894736842105263
"Canada","CA",1998,0.947368421052632
"Canada","CA",1999,0.947368421052632
"Canada","CA",2000,1
"Canada","CA",2001,0.947368421052632
"Canada","CA",2002,0.947368421052632
"Canada","CA",2003,0.947368421052632
"Canada","CA",2004,0.947368421052632
"Canada","CA",2005,0.947368421052632
"Canada","CA",2006,0.947368421052632
"Canada","CA",2007,0.947368421052632
"Canada","CA",2008,0.947368421052632
"Canada","CA",2009,0.421052631578947
"Canada","CA",2010,0.421052631578947
"Canada","CA",2011,0.315789473684211
"Czech Republic","CZ",1998,0.789473684210526
"Czech Republic","CZ",1999,0.842105263157895
"Czech Republic","CZ",2000,0.894736842105263
"Czech Republic","CZ",2001,0.894736842105263
"Czech Republic","CZ",2002,0.947368421052632
"Czech Republic","CZ",2003,0.947368421052632
"Czech Republic","CZ",2004,0.947368421052632
"Czech Republic","CZ",2005,0.947368421052632
"Czech Republic","CZ",2006,0.947368421052632
"Czech Republic","CZ",2007,0.947368421052632
"Czech Republic","CZ",2008,0.947368421052632
"Czech Republic","CZ",2009,0.631578947368421
"Czech Republic","CZ",2010,0.631578947368421
"Czech Republic","CZ",2011,0.631578947368421
"Denmark","DK",1998,0.789473684210526
"Denmark","DK",1999,0.789473684210526
"Denmark","DK",2000,0.736842105263158
"Denmark","DK",2001,0.894736842105263
"Denmark","DK",2002,0.947368421052632
"Denmark","DK",2003,0.947368421052632
"Denmark","DK",2004,0.947368421052632
"Denmark","DK",2005,0.947368421052632
"Denmark","DK",2006,0.789473684210526
"Denmark","DK",2007,0.947368421052632
"Denmark","DK",2008,0.947368421052632
"Denmark","DK",2009,0.736842105263158
"Denmark","DK",2010,0.736842105263158
"Denmark","DK",2011,0.684210526315789
"Estonia","EE",1998,0.736842105263158
"Estonia","EE",1999,0.736842105263158
"Estonia","EE",2000,0.789473684210526
"Estonia","EE",2001,0.842105263157895
"Estonia","EE",2002,0.842105263157895
"Estonia","EE",2003,0.842105263157895
"Estonia","EE",2004,0.894736842105263
"Estonia","EE",2005,0.894736842105263
"Estonia","EE",2006,0.894736842105263
"Estonia","EE",2007,0.894736842105263
"Estonia","EE",2008,0.894736842105263
"Estonia","EE",2009,0.894736842105263
"Estonia","EE",2010,0.842105263157895
"Estonia","EE",2011,0.789473684210526
"Finland","FI",1998,0.736842105263158
"Finland","FI",1999,0.789473684210526
"Finland","FI",2000,0.842105263157895
"Finland","FI",2001,0.947368421052632
"Finland","FI",2002,0.947368421052632
"Finland","FI",2003,0.947368421052632
"Finland","FI",2004,0.947368421052632
"Finland","FI",2005,0.894736842105263
"Finland","FI",2006,0.894736842105263
"Finland","FI",2007,0.894736842105263
"Finland","FI",2008,0.894736842105263
"Finland","FI",2009,0.894736842105263
"Finland","FI",2010,0.894736842105263
"Finland","FI",2011,0.789473684210526
"France","FR",1998,0.263157894736842
"France","FR",1999,0.578947368421053
"France","FR",2000,0.894736842105263
"France","FR",2001,0.894736842105263
"France","FR",2002,0.894736842105263
"France","FR",2003,0.947368421052632
"France","FR",2004,0.947368421052632
"France","FR",2005,0.894736842105263
"France","FR",2006,0.894736842105263
"France","FR",2007,0.894736842105263
"France","FR",2008,0.947368421052632
"France","FR",2009,0.947368421052632
"France","FR",2010,0.947368421052632
"France","FR",2011,0.842105263157895
"Germany","DE",1998,0.789473684210526
"Germany","DE",1999,0.842105263157895
"Germany","DE",2000,0.894736842105263
"Germany","DE",2001,0.894736842105263
"Germany","DE",2002,0.894736842105263
"Germany","DE",2003,0.894736842105263
"Germany","DE",2004,0.894736842105263
"Germany","DE",2005,0.947368421052632
"Germany","DE",2006,0.947368421052632
"Germany","DE",2007,0.947368421052632
"Germany","DE",2008,0.947368421052632
"Germany","DE",2009,0.947368421052632
"Germany","DE",2010,0.894736842105263
"Germany","DE",2011,0.789473684210526
"Greece","GR",1998,0.736842105263158
"Greece","GR",1999,0.789473684210526
"Greece","GR",2000,0.842105263157895
"Greece","GR",2001,0.894736842105263
"Greece","GR",2002,0.894736842105263
"Greece","GR",2003,0.894736842105263
"Greece","GR",2004,0.894736842105263
