"iso2c","country","year","Rep_GFDD.DI.01","Rep_GFDD.DI.02","Rep_GFDD.DI.03","Rep_GFDD.DI.04","Rep_GFDD.DI.05","Rep_GFDD.DI.06","Rep_GFDD.DI.07","Rep_GFDD.DI.08","Rep_GFDD.DI.11","Rep_GFDD.DI.12","Rep_GFDD.DI.13","Rep_GFDD.DI.14","Rep_GFDD.EI.08","Rep_GFDD.OI.02","Rep_GFDD.SI.02","Rep_GFDD.SI.03","Rep_GFDD.SI.04","Rep_GFDD.SI.05","Rep_GFDD.SI.07"
"AT","Austria",1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"AT","Austria",1999,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0
"AT","Austria",2000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"AT","Austria",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"AT","Austria",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2010,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2011,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"AU","Australia",1998,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"AU","Australia",1999,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"AU","Australia",2000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2010,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2011,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"BE","Belgium",1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
"BE","Belgium",1999,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1
"BE","Belgium",2000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
