"country","iso2c","year","lower_95","lower_90","median","upper_90","upper_95"
"Andorra","AD","1990",-2.975,-2.769,-1.63,-0.472,-0.349
"Andorra","AD","1991",-5.306,-4.275,-2.206,-0.998,-0.715
"Andorra","AD","1992",-7.167,-5.85,-2.629,-1.318,-1.038
"Andorra","AD","1993",-10.276,-8.436,-2.987,-1.512,-1.252
"Andorra","AD","1994",-11.658,-9.486,-3.244,-1.584,-1.324
"Andorra","AD","1995",-12.668,-9.485,-3.441,-1.738,-1.468
"Andorra","AD","1996",-11.391,-9.033,-3.604,-1.793,-1.543
"Andorra","AD","1997",-11.594,-9.049,-3.793,-1.826,-1.613
"Andorra","AD","1998",-12.213,-9.437,-3.875,-1.852,-1.619
"Andorra","AD","1999",-11.397,-9.43,-3.966,-1.918,-1.697
"Andorra","AD","2000",-11.811,-10.337,-4.061,-1.944,-1.746
"Andorra","AD","2001",-11.849,-9.91,-4.27,-1.897,-1.668
"Andorra","AD","2002",-12.135,-10.347,-4.41,-1.99,-1.792
"Andorra","AD","2003",-12.56,-10.988,-4.689,-2.035,-1.831
"Andorra","AD","2004",-13.755,-11.683,-4.839,-2.068,-1.856
"Andorra","AD","2005",-14.561,-12.347,-5.117,-2.1,-1.873
"Andorra","AD","2006",-15.008,-12.826,-5.106,-2.075,-1.872
"Andorra","AD","2007",-14.975,-13.281,-5.364,-2.093,-1.88
"Andorra","AD","2008",-15.987,-14.211,-5.511,-2.088,-1.864
"Andorra","AD","2009",-17.547,-15.509,-5.607,-2.058,-1.855
"Andorra","AD","2010",-18.631,-15.868,-5.453,-2.017,-1.789
"Andorra","AD","2011",-19.528,-16.937,-5.316,-2.019,-1.786
"Aruba","AW","1990",-0.094,-0.078,-0.014,0.116,0.126
"Aruba","AW","1991",-0.012,-0.009,0.029,0.151,0.156
"Aruba","AW","1992",-0.008,-0.003,0.038,0.16,0.166
"Aruba","AW","1993",-0.01,-0.001,0.045,0.167,0.177
"Aruba","AW","1994",-0.005,0.003,0.054,0.18,0.187
"Aruba","AW","1995",0.002,0.008,0.056,0.187,0.203
"Aruba","AW","1996",0.002,0.012,0.061,0.197,0.207
"Aruba","AW","1997",0.01,0.016,0.063,0.2,0.211
"Aruba","AW","1998",0.008,0.016,0.064,0.204,0.22
"Aruba","AW","1999",0.004,0.013,0.067,0.205,0.218
"Aruba","AW","2000",0.002,0.01,0.066,0.201,0.22
"Aruba","AW","2001",-0.001,0.008,0.064,0.202,0.221
"Aruba","AW","2002",0.001,0.009,0.067,0.204,0.215
"Aruba","AW","2003",0.002,0.011,0.063,0.198,0.214
"Aruba","AW","2004",0,0.008,0.062,0.196,0.211
"Aruba","AW","2005",-0.002,0.005,0.062,0.195,0.207
"Aruba","AW","2006",-0.001,0.007,0.062,0.197,0.207
"Aruba","AW","2007",0,0.007,0.06,0.194,0.204
"Aruba","AW","2008",-0.002,0.004,0.059,0.188,0.199
"Aruba","AW","2009",-0.007,0,0.05,0.184,0.196
"Aruba","AW","2010",-0.011,-0.008,0.034,0.165,0.173
"Aruba","AW","2011",-0.068,-0.061,-0.006,0.122,0.129
"Australia","AU","1990",1.041,1.218,1.898,2.463,2.567
"Australia","AU","1991",1.223,1.329,1.955,2.515,2.664
"Australia","AU","1992",1.316,1.398,1.967,2.519,2.685
"Australia","AU","1993",1.352,1.426,1.991,2.562,2.791
"Australia","AU","1994",1.339,1.416,1.997,2.625,2.78
"Australia","AU","1995",1.342,1.409,2.002,2.627,2.787
"Australia","AU","1996",1.334,1.41,2.001,2.646,2.808
"Australia","AU","1997",1.326,1.396,1.993,2.564,2.701
"Australia","AU","1998",1.328,1.396,2.001,2.67,2.831
"Australia","AU","1999",1.377,1.425,2.005,2.713,2.99
"Australia","AU","2000",1.399,1.447,2.026,2.73,3.018
"Australia","AU","2001",1.394,1.44,2.028,2.777,3.034
"Australia","AU","2002",1.352,1.426,2.029,2.811,2.974
"Australia","AU","2003",1.311,1.42,2.001,2.764,2.989
"Australia","AU","2004",1.309,1.397,1.99,2.716,2.928
"Australia","AU","2005",1.231,1.353,1.99,2.664,2.882
"Australia","AU","2006",1.201,1.333,1.966,2.633,2.789
"Australia","AU","2007",1.144,1.256,1.932,2.6,2.764
"Australia","AU","2008",1.055,1.175,1.877,2.503,2.712
"Australia","AU","2009",0.917,1.041,1.753,2.424,2.568
"Australia","AU","2010",0.678,0.782,1.531,2.349,2.462
"Australia","AU","2011",0.307,0.458,1.417,2.299,2.435
"Austria","AT","1990",0.102,0.139,0.388,0.792,0.881
"Austria","AT","1991",0.093,0.128,0.368,0.701,0.775
"Austria","AT","1992",0.09,0.131,0.371,0.735,0.823
"Austria","AT","1993",0.108,0.141,0.4,0.741,0.841
"Austria","AT","1994",0.095,0.135,0.375,0.743,0.83
"Austria","AT","1995",0.083,0.127,0.37,0.682,0.747
"Austria","AT","1996",0.081,0.11,0.34,0.661,0.736
"Austria","AT","1997",0.046,0.062,0.231,0.501,0.549
"Austria","AT","1998",-0.609,-0.529,-0.252,-0.051,-0.025
"Austria","AT","1999",-0.119,-0.101,-0.025,0.111,0.119
"Austria","AT","2000",0.149,0.194,0.476,0.944,1.071
"Austria","AT","2001",0.3,0.355,0.767,1.338,1.462
"Austria","AT","2002",0.405,0.483,0.949,1.541,1.677
"Austria","AT","2003",0.493,0.554,1.04,1.642,1.787
"Austria","AT","2004",0.555,0.648,1.111,1.757,1.869
"Austria","AT","2005",0.575,0.651,1.16,1.724,1.874
"Austria","AT","2006",0.586,0.662,1.163,1.767,1.915
"Austria","AT","2007",0.565,0.649,1.14,1.783,1.892
"Austria","AT","2008",0.507,0.568,1.088,1.803,1.933
"Austria","AT","2009",0.392,0.471,0.99,1.652,1.791
"Austria","AT","2010",0.277,0.358,0.833,1.456,1.607
"Austria","AT","2011",0.243,0.289,0.783,1.441,1.599
"Bahamas, The","BS","1990",0.229,0.284,0.455,0.662,0.712
"Bahamas, The","BS","1991",0.263,0.295,0.454,0.646,0.704
"Bahamas, The","BS","1992",0.271,0.299,0.455,0.633,0.676
"Bahamas, The","BS","1993",0.275,0.305,0.451,0.629,0.668
"Bahamas, The","BS","1994",0.278,0.312,0.452,0.628,0.664
"Bahamas, The","BS","1995",0.284,0.308,0.453,0.624,0.66
