"country","iso2c","year","lower_95","lower_90","median","upper_90","upper_95"
"Argentina","AR","1990",-0.012,0.109,0.54,1.051,1.103
"Argentina","AR","1991",0.05,0.13,0.542,0.994,1.071
"Argentina","AR","1992",0.028,0.151,0.532,1.002,1.026
"Argentina","AR","1993",0.065,0.157,0.563,1.001,1.048
"Argentina","AR","1994",0.142,0.172,0.611,1,1.112
"Argentina","AR","1995",0.179,0.265,0.66,1.054,1.101
"Argentina","AR","1996",0.202,0.301,0.702,1.097,1.167
"Argentina","AR","1997",0.275,0.362,0.745,1.132,1.217
"Argentina","AR","1998",0.331,0.407,0.79,1.175,1.264
"Argentina","AR","1999",0.378,0.472,0.857,1.258,1.342
"Argentina","AR","2000",0.492,0.571,0.943,1.395,1.469
"Argentina","AR","2001",0.514,0.616,1.015,1.505,1.579
"Argentina","AR","2002",0.601,0.65,1.086,1.628,1.83
"Argentina","AR","2003",0.572,0.633,1.16,1.675,1.843
"Argentina","AR","2004",0.649,0.716,1.217,1.831,1.975
"Argentina","AR","2005",0.658,0.755,1.27,1.913,2.031
"Argentina","AR","2006",0.694,0.781,1.333,2.03,2.193
"Argentina","AR","2007",0.738,0.797,1.376,2.122,2.323
"Argentina","AR","2008",0.702,0.783,1.414,2.169,2.402
"Argentina","AR","2009",0.741,0.784,1.434,2.226,2.529
"Argentina","AR","2010",0.707,0.766,1.441,2.251,2.528
"Argentina","AR","2011",0.627,0.711,1.427,2.251,2.509
"Aruba","AW","1990",-0.461,-0.471,-0.407,-0.298,-0.253
"Aruba","AW","1991",-0.415,-0.424,-0.379,-0.275,-0.236
"Aruba","AW","1992",-0.409,-0.413,-0.37,-0.264,-0.23
"Aruba","AW","1993",-0.41,-0.412,-0.366,-0.259,-0.229
"Aruba","AW","1994",-0.402,-0.406,-0.36,-0.252,-0.219
"Aruba","AW","1995",-0.404,-0.408,-0.356,-0.255,-0.221
"Aruba","AW","1996",-0.401,-0.404,-0.355,-0.25,-0.219
"Aruba","AW","1997",-0.402,-0.402,-0.354,-0.248,-0.22
"Aruba","AW","1998",-0.401,-0.403,-0.355,-0.249,-0.217
"Aruba","AW","1999",-0.398,-0.402,-0.355,-0.248,-0.215
"Aruba","AW","2000",-0.401,-0.402,-0.355,-0.246,-0.217
"Aruba","AW","2001",-0.402,-0.402,-0.355,-0.244,-0.214
"Aruba","AW","2002",-0.398,-0.401,-0.354,-0.244,-0.214
"Aruba","AW","2003",-0.403,-0.405,-0.355,-0.248,-0.22
"Aruba","AW","2004",-0.401,-0.402,-0.355,-0.248,-0.219
"Aruba","AW","2005",-0.402,-0.403,-0.356,-0.248,-0.22
"Aruba","AW","2006",-0.401,-0.401,-0.356,-0.248,-0.219
"Aruba","AW","2007",-0.403,-0.404,-0.356,-0.25,-0.222
"Aruba","AW","2008",-0.406,-0.405,-0.358,-0.251,-0.224
"Aruba","AW","2009",-0.405,-0.41,-0.362,-0.258,-0.225
"Aruba","AW","2010",-0.415,-0.416,-0.375,-0.265,-0.236
"Aruba","AW","2011",-0.45,-0.456,-0.404,-0.291,-0.252
