"country","iso2c","year","lower_95","lower_90","median","upper_90","upper_95"
"Argentina","AR","1990",-0.056,0.036,0.524,1.004,1.096
"Argentina","AR","1991",-0.03,0.039,0.543,0.949,1.033
"Argentina","AR","1992",0.041,0.116,0.551,0.974,1.065
"Argentina","AR","1993",0.081,0.169,0.594,1.001,1.085
"Argentina","AR","1994",0.126,0.225,0.643,1.051,1.128
"Argentina","AR","1995",0.182,0.291,0.689,1.104,1.175
"Argentina","AR","1996",0.235,0.311,0.731,1.121,1.245
"Argentina","AR","1997",0.322,0.356,0.771,1.174,1.355
"Argentina","AR","1998",0.308,0.343,0.833,1.205,1.364
"Argentina","AR","1999",0.434,0.487,0.896,1.33,1.447
"Argentina","AR","2000",0.483,0.551,0.969,1.449,1.554
"Argentina","AR","2001",0.529,0.625,1.052,1.587,1.685
"Argentina","AR","2002",0.583,0.66,1.126,1.69,1.834
"Argentina","AR","2003",0.574,0.67,1.207,1.82,1.964
"Argentina","AR","2004",0.596,0.672,1.255,1.889,2.051
"Argentina","AR","2005",0.597,0.713,1.317,2.079,2.233
"Argentina","AR","2006",0.598,0.667,1.398,2.208,2.423
"Argentina","AR","2007",0.599,0.691,1.453,2.294,2.56
"Argentina","AR","2008",0.668,0.71,1.492,2.395,2.712
"Argentina","AR","2009",0.597,0.701,1.505,2.417,2.644
"Argentina","AR","2010",0.647,0.656,1.503,2.396,2.732
"Argentina","AR","2011",0.599,0.653,1.464,2.389,2.677
"Aruba","AW","1990",-0.485,-0.474,-0.402,-0.334,-0.321
"Aruba","AW","1991",-0.443,-0.436,-0.37,-0.309,-0.295
"Aruba","AW","1992",-0.437,-0.431,-0.363,-0.301,-0.285
"Aruba","AW","1993",-0.435,-0.422,-0.358,-0.288,-0.278
"Aruba","AW","1994",-0.436,-0.423,-0.352,-0.285,-0.273
"Aruba","AW","1995",-0.428,-0.422,-0.349,-0.284,-0.266
"Aruba","AW","1996",-0.425,-0.417,-0.348,-0.282,-0.266
"Aruba","AW","1997",-0.426,-0.413,-0.346,-0.277,-0.268
"Aruba","AW","1998",-0.425,-0.416,-0.345,-0.277,-0.262
"Aruba","AW","1999",-0.425,-0.42,-0.344,-0.283,-0.266
"Aruba","AW","2000",-0.423,-0.418,-0.345,-0.28,-0.258
"Aruba","AW","2001",-0.426,-0.412,-0.344,-0.277,-0.266
"Aruba","AW","2002",-0.424,-0.414,-0.343,-0.276,-0.26
"Aruba","AW","2003",-0.434,-0.42,-0.345,-0.28,-0.268
"Aruba","AW","2004",-0.423,-0.412,-0.345,-0.276,-0.262
"Aruba","AW","2005",-0.427,-0.422,-0.345,-0.285,-0.268
"Aruba","AW","2006",-0.425,-0.421,-0.346,-0.282,-0.267
"Aruba","AW","2007",-0.425,-0.412,-0.349,-0.278,-0.268
"Aruba","AW","2008",-0.43,-0.421,-0.35,-0.285,-0.273
"Aruba","AW","2009",-0.432,-0.422,-0.357,-0.286,-0.276
"Aruba","AW","2010",-0.443,-0.432,-0.366,-0.302,-0.29
"Aruba","AW","2011",-0.482,-0.465,-0.396,-0.328,-0.32
"Australia","AU","1990",-0.073,-0.059,0.355,0.653,0.742
"Australia","AU","1991",-0.095,0.018,0.351,0.694,0.732
"Australia","AU","1992",-0.071,0.045,0.355,0.695,0.692
"Australia","AU","1993",-0.07,0.014,0.354,0.669,0.706
"Australia","AU","1994",-0.046,0.052,0.357,0.672,0.69
"Australia","AU","1995",-0.055,0.041,0.357,0.662,0.691
"Australia","AU","1996",-0.009,0.049,0.358,0.668,0.78
"Australia","AU","1997",-0.057,0.052,0.368,0.671,0.69
"Australia","AU","1998",0.014,0.052,0.368,0.669,0.789
"Australia","AU","1999",-0.02,0.087,0.372,0.703,0.696
"Australia","AU","2000",-0.036,0.051,0.377,0.667,0.696
"Australia","AU","2001",0.014,0.047,0.384,0.682,0.776
"Australia","AU","2002",0.018,0.091,0.392,0.7,0.788
"Australia","AU","2003",0.033,0.1,0.403,0.707,0.738
"Australia","AU","2004",-0.018,0.113,0.413,0.728,0.734
"Australia","AU","2005",0.049,0.12,0.423,0.705,0.754
"Australia","AU","2006",0.098,0.142,0.445,0.741,0.823
