"country","iso2c","year","median","lower_95","lower_90","upper_90","upper_95","se"
"Argentina","AR","1990",0.5633955,-0.105073,-0.0006723,-0.0006723,-0.105073,0.0006084
"Argentina","AR","1991",0.543776,-0.0162692,-0.0345699,-0.0345699,-0.0162692,0.0005896
"Argentina","AR","1992",0.5641065,0.0080697,0.127747,0.127747,0.0080697,0.000565
"Argentina","AR","1993",0.59549,0.0572423,0.163718,0.163718,0.0572423,0.0005237
"Argentina","AR","1994",0.647187,0.100553,0.238812,0.238812,0.100553,0.0004908
"Argentina","AR","1995",0.6628025,0.160028,0.277008,0.277008,0.160028,0.0004549
"Argentina","AR","1996",0.712483,0.282555,0.326094,0.326094,0.282555,0.0004763
"Argentina","AR","1997",0.7967685,0.299349,0.389718,0.389718,0.299349,0.0005017
"Argentina","AR","1998",0.84743,0.387869,0.40686,0.40686,0.387869,0.0004965
"Argentina","AR","1999",0.852692,0.432576,0.533619,0.533619,0.432576,0.000488
"Argentina","AR","2000",0.8556325,0.450659,0.462064,0.462064,0.450659,0.0005548
"Argentina","AR","2001",0.9438135,0.467802,0.550211,0.550211,0.467802,0.0005553
"Argentina","AR","2002",1.10978,0.574362,0.635505,0.635505,0.574362,0.0005542
"Argentina","AR","2003",1.2302,0.617805,0.715625,0.715625,0.617805,0.0005979
"Argentina","AR","2004",1.28825,0.671418,0.752069,0.752069,0.671418,0.0007009
"Argentina","AR","2005",1.381035,0.710383,0.743619,0.743619,0.710383,0.0007475
"Argentina","AR","2006",1.47854,0.735805,0.824989,0.824989,0.735805,0.0008239
"Argentina","AR","2007",1.59114,0.736438,0.847469,0.847469,0.736438,0.0008528
"Argentina","AR","2008",1.60992,0.727865,0.890486,0.890486,0.727865,0.0009625
"Argentina","AR","2009",1.65894,0.724557,0.874284,0.874284,0.724557,0.0010033
"Argentina","AR","2010",1.604585,0.756566,0.812787,0.812787,0.756566,0.000965
"Argentina","AR","2011",1.61489,0.720727,0.813265,0.813265,0.720727,0.0009968
"Argentina","AR","2012",1.59956,0.805679,0.769887,0.769887,0.805679,0.0010406
"Argentina","AR","2013",1.53254,0.616873,0.750337,0.750337,0.616873,0.0010787
"Aruba","AW","1990",-0.366954,-0.437415,-0.43654,-0.43654,-0.437415,8.82e-05
"Aruba","AW","1991",-0.347248,-0.413273,-0.413029,-0.413029,-0.413273,8.19e-05
"Aruba","AW","1992",-0.3406865,-0.409102,-0.406405,-0.406405,-0.409102,8.48e-05
"Aruba","AW","1993",-0.336142,-0.400331,-0.401186,-0.401186,-0.400331,8.41e-05
"Aruba","AW","1994",-0.3313805,-0.403118,-0.400968,-0.400968,-0.403118,8.6e-05
"Aruba","AW","1995",-0.32806,-0.398378,-0.387068,-0.387068,-0.398378,7.97e-05
"Aruba","AW","1996",-0.3235985,-0.393359,-0.383204,-0.383204,-0.393359,8.14e-05
"Aruba","AW","1997",-0.3237115,-0.391307,-0.387513,-0.387513,-0.391307,8.15e-05
"Aruba","AW","1998",-0.3220945,-0.407639,-0.397464,-0.397464,-0.407639,8.95e-05
"Aruba","AW","1999",-0.322377,-0.398477,-0.398422,-0.398422,-0.398477,8.87e-05
"Aruba","AW","2000",-0.320986,-0.410006,-0.409529,-0.409529,-0.410006,9.42e-05
"Aruba","AW","2001",-0.32137,-0.40923,-0.404715,-0.404715,-0.40923,9.35e-05
"Aruba","AW","2002",-0.3212905,-0.394005,-0.393117,-0.393117,-0.394005,8.89e-05
"Aruba","AW","2003",-0.3203255,-0.384818,-0.382083,-0.382083,-0.384818,8.24e-05
"Aruba","AW","2004",-0.3197745,-0.387163,-0.383053,-0.383053,-0.387163,8.36e-05
"Aruba","AW","2005",-0.3193975,-0.390559,-0.388931,-0.388931,-0.390559,8.24e-05
"Aruba","AW","2006",-0.32146,-0.388957,-0.38755,-0.38755,-0.388957,8.25e-05
"Aruba","AW","2007",-0.320858,-0.381279,-0.38126,-0.38126,-0.381279,7.88e-05
"Aruba","AW","2008",-0.3193915,-0.40021,-0.400187,-0.400187,-0.40021,8.21e-05
"Aruba","AW","2009",-0.321791,-0.388749,-0.382928,-0.382928,-0.388749,8.26e-05
"Aruba","AW","2010",-0.3231215,-0.388254,-0.383093,-0.383093,-0.388254,7.71e-05
"Aruba","AW","2011",-0.323691,-0.391977,-0.384654,-0.384654,-0.391977,8.21e-05
"Aruba","AW","2012",-0.328911,-0.394002,-0.387338,-0.387338,-0.394002,8.02e-05
"Aruba","AW","2013",-0.3295725,-0.397877,-0.389823,-0.389823,-0.397877,7.87e-05
"Australia","AU","1990",0.1770545,-0.181209,-0.143658,-0.143658,-0.181209,0.0004586
"Australia","AU","1991",0.1963945,-0.175449,-0.0960919,-0.0960919,-0.175449,0.0003762
"Australia","AU","1992",0.19224,-0.119784,-0.110337,-0.110337,-0.119784,0.000359
"Australia","AU","1993",0.2060575,-0.114912,-0.0435889,-0.0435889,-0.114912,0.0003731
"Australia","AU","1994",0.223516,-0.104747,-0.0311146,-0.0311146,-0.104747,0.0003291
"Australia","AU","1995",0.2025325,-0.0802387,-0.0428712,-0.0428712,-0.0802387,0.0003427
"Australia","AU","1996",0.227494,-0.0787894,-0.0431661,-0.0431661,-0.0787894,0.0003231
"Australia","AU","1997",0.2155295,-0.141537,-0.129789,-0.129789,-0.141537,0.0004042
"Australia","AU","1998",0.216735,-0.109707,-0.0903999,-0.0903999,-0.109707,0.0003861
"Australia","AU","1999",0.2226115,-0.0874529,0.004455,0.004455,-0.0874529,0.0003485
"Australia","AU","2000",0.230566,-0.087643,-0.0089406,-0.0089406,-0.087643,0.0003543
"Australia","AU","2001",0.2369825,-0.065045,-0.0519511,-0.0519511,-0.065045,0.0003934
"Australia","AU","2002",0.255627,-0.0615761,0.0241286,0.0241286,-0.0615761,0.0003554
"Australia","AU","2003",0.283117,0.0006763,0.0744207,0.0744207,0.0006763,0.0003341
"Australia","AU","2004",0.3117755,0.0086905,0.0836051,0.0836051,0.0086905,0.0003444
"Australia","AU","2005",0.3352265,-0.0291485,-0.0291801,-0.0291801,-0.0291485,0.0004553
"Australia","AU","2006",0.3850645,0.0911836,0.131415,0.131415,0.0911836,0.0003879
"Australia","AU","2007",0.442643,0.103916,0.16104,0.16104,0.103916,0.0004624
"Australia","AU","2008",0.526131,0.176817,0.210271,0.210271,0.176817,0.0004737
"Australia","AU","2009",0.5949385,0.190755,0.244284,0.244284,0.190755,0.0005345
"Australia","AU","2010",0.623097,0.22389,0.234149,0.234149,0.22389,0.0006041
"Australia","AU","2011",0.615804,0.239571,0.267563,0.267563,0.239571,0.0006429
"Australia","AU","2012",0.664805,0.245676,0.234986,0.234986,0.245676,0.0006533
"Australia","AU","2013",0.7204945,0.161485,0.245285,0.245285,0.161485,0.0006718
"Austria","AT","1990",-0.0899655,-0.30428,-0.273686,-0.273686,-0.30428,0.0002414
"Austria","AT","1991",-0.1237945,-0.286751,-0.24743,-0.24743,-0.286751,0.0002289
"Austria","AT","1992",-0.1205595,-0.331157,-0.325934,-0.325934,-0.331157,0.0002487
"Austria","AT","1993",-0.1258355,-0.298103,-0.286086,-0.286086,-0.298103,0.0002344
"Austria","AT","1994",-0.139477,-0.29405,-0.273658,-0.273658,-0.29405,0.0002237
"Austria","AT","1995",-0.1315705,-0.309601,-0.28127,-0.28127,-0.309601,0.0001842
"Austria","AT","1996",-0.1842,-0.319149,-0.289231,-0.289231,-0.319149,0.0001746
"Austria","AT","1997",-0.2504865,-0.362279,-0.3445,-0.3445,-0.362279,0.0001382
"Austria","AT","1998",-0.4827865,-0.609099,-0.580035,-0.580035,-0.609099,0.0001418
"Austria","AT","1999",-0.3904835,-0.460181,-0.442817,-0.442817,-0.460181,9.05e-05
"Austria","AT","2000",-0.221853,-0.363268,-0.363468,-0.363468,-0.363268,0.0001978
"Austria","AT","2001",-0.1428045,-0.305978,-0.249783,-0.249783,-0.305978,0.0002278
"Austria","AT","2002",-0.0947262,-0.250519,-0.261631,-0.261631,-0.250519,0.0002962
"Austria","AT","2003",-0.0712633,-0.344793,-0.345786,-0.345786,-0.344793,0.0003406
"Austria","AT","2004",-0.0432116,-0.299704,-0.299718,-0.299718,-0.299704,0.0003341
"Austria","AT","2005",-0.0224942,-0.236033,-0.222198,-0.222198,-0.236033,0.0003174
"Austria","AT","2006",-0.0037103,-0.212307,-0.206844,-0.206844,-0.212307,0.0003156
"Austria","AT","2007",-0.0085461,-0.268184,-0.259521,-0.259521,-0.268184,0.000326
"Austria","AT","2008",-0.0128028,-0.22358,-0.198461,-0.198461,-0.22358,0.0002873
"Austria","AT","2009",-0.0221307,-0.237167,-0.198628,-0.198628,-0.237167,0.0003097
"Austria","AT","2010",-0.0163116,-0.247094,-0.222355,-0.222355,-0.247094,0.0003003
"Austria","AT","2011",-0.0082572,-0.233613,-0.213895,-0.213895,-0.233613,0.0002877
"Austria","AT","2012",-0.0094824,-0.287372,-0.225583,-0.225583,-0.287372,0.0003041
"Austria","AT","2013",-0.0243419,-0.263794,-0.263774,-0.263774,-0.263794,0.0003363
"Bahamas, The","BS","1990",0.618922,0.327546,0.430522,0.430522,0.327546,0.0003289
