"country","iso2c","quarter","bond_yld_datastream","bond_yld_datastream_details"
"Armenia","AM",2004.3,9.24,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2004.4,9.27,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2005.1,6.93,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2005.2,7.37,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2005.3,5.38,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2005.4,8.82,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2006.1,8.58,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2006.2,9.88,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2006.3,9.58,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2006.4,9.37,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2007.1,7.99,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2007.2,6.74,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2007.3,6.72,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2007.4,9.45,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2008.1,10.43,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2008.2,10.33,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2008.3,10.57,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2008.4,NA,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2009.1,12.88,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2009.2,15.52,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2009.3,13.33,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2009.4,NA,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2010.1,15.92,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2010.2,15.12,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2010.3,15.95,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2010.4,NA,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2011.1,15.37,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2011.2,15.46,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2011.3,15.52,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2011.4,15.83,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2012.1,15.76,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2012.2,15.79,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2012.3,15.86,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2012.4,15.89,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2013.1,16.2,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2013.2,15.63,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2013.3,14.96,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2013.4,11.64,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2014.1,10.99,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2014.2,11.54,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2014.3,11.6,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2014.4,12.15,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2015.1,16.01,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2015.2,15.89,"AM GOVERNMENT BONDS YIELD"
"Armenia","AM",2015.3,NA,"AM GOVERNMENT BONDS YIELD"
"Austria","AT",1985.1,8.02,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1985.2,7.99,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1985.3,7.56,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1985.4,7.51,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1986.1,7.73,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1986.2,7.35,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1986.3,7.26,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1986.4,7.41,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1987.1,7.17,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1987.2,6.77,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
