"year","ccode1","wbcode","infl","pubdebt_gdp","sname","lpubdebtgdp","linfl","frt0425","dfrt0425","lfrt0425","spread","spread_pct","ltspreadus","newspread","newspreadl","dnewspread","ldnewspread","dpubdebtgdp","dinfl","lnewspreadl","yr1","yr2","yr3","yr4","yr5","yr6","yr7","yr8","yr9","yr10","yr11","yr12","yr13","yr14","yr15","yr16","yr17","yr18","yr19","yr20","yr21","yr22","lfrtxpub0425","lers","lpcgdpl","ldpcgdpl","advanced","advgrowth","us3mrate","ldfrt0425","ldpubdebtgdp","ldfrtxdpub0425","oecd","emu","pcgdp2005l","lpcgdp2005l","cgdpgrowth","ka_open","lka_open","lcgdpgrowth","s1name","dpcgdp2005l","dcgdpgrowth","dka_open","dfrtxdpub0425","country","iso2c","lower_95","lower_90","median","upper_90","upper_95","frt","lfrt","dfrt","ltratecov","dratecov","lltratecov","lnewspread","lfrtxdpub","lvix","loecdgrowth","doecdgrowth","dvix","_merge","dus3mrate","lus3mrate","dfrtxdpub","ldfrt","lfrtxlpub"
1990,2,"USA",5.42000007629395,61.9900016784668,"United States",60.2799987792969,,1.09500002861023,,,,,0,0,1.60943794250488,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,10.3703145980835,,1.85609340667725,1,1,,"United States",,,,,"United States","US",0.635999977588654,0.722000002861023,1.057000041008,1.4539999961853,1.52699995040894,1.057000041008,,,2.88134789466858,,,,,,3.91646099090576,-0.891098737716675,,3,,,,,
1991,2,"USA",4.21999979019165,66.370002746582,"United States",61.9900016784668,5.42000007629395,1.10000002384186,0.00499999523162842,1.09500002861023,,,0,0,1.60943794250488,0,,4.38000106811523,-1.20000028610229,1.60943794250488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8790512084961,,,,,,,,,,1,0,10.3543357849121,10.3703145980835,-0.261224895715714,1,1,1.85609340667725,"United States",-0.0159788131713867,-2.11731839179993,0,0.0218999851495028,"United States","US",0.688000023365021,0.721000015735626,1.05200004577637,1.43499994277954,1.54100000858307,1.05200004577637,1.057000041008,-0.00499999523162842,4.66387319564819,1.78252530097961,2.88134789466858,0,4.62966108322144,23.0599994659424,3.02536225318909,-1.78374373912811,-4.68999862670898,3,-2.10999965667725,7.48999977111816,-0.0218999851495028,,65.5234375
1992,2,"USA",3.03999996185303,68.6100006103516,"United States",66.370002746582,4.21999979019165,1.11300003528595,0.0130000114440918,1.10000002384186,,,0,0,1.60943794250488,0,0,2.23999786376953,-1.17999982833862,1.60943794250488,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0070037841797,,,,,,,0.00499999523162842,4.38000106811523,0.0218999851495028,1,0,10.373948097229,10.3543357849121,3.40477466583252,1,1,-0.261224895715714,"United States",0.0196123123168945,3.6659996509552,0,0.029119998216629,"United States","US",0.691999971866608,0.735000014305115,1.05599999427795,1.42299997806549,1.52100002765656,1.05599999427795,1.05200004577637,0.00399994850158691,5.48292541503906,0.819052219390869,4.66387319564819,0,2.35647773742676,18.3700008392334,1.24161851406097,0.805625557899475,-2.92000102996826,3,-1.95000004768372,5.38000011444092,0.00895987637341022,-0.00499999523162842,69.8212432861328
1993,2,"USA",2.97000002861023,70.1900024414062,"United States",68.6100006103516,3.03999996185303,1.125,0.0119999647140503,1.11300003528595,,,0,0,1.60943794250488,0,0,1.58000183105469,-0.0699999332427979,1.60943794250488,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3629302978516,,,,,,,0.0130000114440918,2.23999786376953,0.029119998216629,1,0,10.3890819549561,10.373948097229,2.8725483417511,1,1,3.40477466583252,"United States",0.0151338577270508,-0.532226324081421,0,0.01895996555686,"United States","US",0.691999971866608,0.745999991893768,1.05499994754791,1.41499996185303,1.49000000953674,1.05499994754791,1.05599999427795,-0.0010000467300415,6.00400304794312,0.521077632904053,5.48292541503906,0,1.66848194599152,15.4499998092651,2.04724407196045,-0.756426692008972,-2.76000022888184,3,-0.430000066757202,3.4300000667572,-0.00158007571008056,0.00399994850158691,72.4521636962891
1994,2,"USA",2.59999990463257,69.3899993896484,"United States",70.1900024414062,2.97000002861023,1.125,0,1.125,,,0,0,1.60943794250488,0,0,-0.800003051757812,-0.370000123977661,1.60943794250488,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.963752746582,,,,,,,0.0119999647140503,1.58000183105469,0.01895996555686,1,0,10.4171409606934,10.3890819549561,4.11454153060913,1,1,2.8725483417511,"United States",0.0280590057373047,1.24199318885803,0,0,"United States","US",0.702000021934509,0.767000019550323,1.05999994277954,1.42499995231628,1.49399995803833,1.05999994277954,1.05499994754791,0.00499999523162842,9.84546279907227,3.84145975112915,6.00400304794312,0,-0.844003200531006,12.6899995803833,1.29081737995148,1.91920053958893,1.24000072479248,3,1.25,3,-0.0040000113658607,-0.0010000467300415,74.0504455566406
1995,2,"USA",2.80999994277954,68.8000030517578,"United States",69.3899993896484,2.59999990463257,1.12300002574921,-0.00199997425079346,1.125,,,0,0,1.60943794250488,0,0,-0.589996337890625,0.210000038146973,1.60943794250488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0637512207031,,,,,,,0,-0.800003051757812,0,1,0,10.4304027557373,10.4171409606934,2.54897499084473,1,1,4.11454153060913,"United States",0.0132617950439453,-1.5655665397644,0,0.00117997743654996,"United States","US",0.71399998664856,0.768999993801117,1.06299996376038,1.42400002479553,1.50600004196167,1.06299996376038,1.05999994277954,0.00300002098083496,9.96676540374756,0.121302604675293,9.84546279907227,0,-0.625396072864532,13.9300003051758,3.21001791954041,-0.426798105239868,-1.53999996185303,3,1.23999977111816,4.25,-0.00177000137045979,0.00499999523162842,73.5533981323242
1996,2,"USA",2.94000005722046,68.0299987792969,"United States",68.8000030517578,2.80999994277954,1.12699997425079,0.00399994850158691,1.12300002574921,,,0,0,1.60943794250488,0,0,-0.770004272460938,0.130000114440918,1.60943794250488,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2624053955078,,,,,,,-0.00199997425079346,-0.589996337890625,0.00117997743654996,1,0,10.4559307098389,10.4304027557373,3.78607296943665,1,1,2.54897499084473,"United States",0.0255279541015625,1.23709797859192,0,-0.00307997735217214,"United States","US",0.723999977111816,0.777999997138977,1.06500005722046,1.41600000858307,1.48099994659424,1.06500005722046,1.06299996376038,0.00200009346008301,6.3316125869751,-3.63515281677246,9.96676540374756,0,-0.81851452589035,12.3900003433228,2.78321981430054,0.120951652526855,4.05000019073486,3,-0.479999542236328,5.48999977111816,-0.00154008052777499,0.00300002098083496,73.1343994140625
1997,2,"USA",2.33999991416931,65.620002746582,"United States",68.0299987792969,2.94000005722046,1.125,-0.00199997425079346,1.12699997425079,,,0,0,1.60943794250488,0,0,-2.40999603271484,-0.600000143051147,1.60943794250488,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.669807434082,,,,,,,0.00399994850158691,-0.770004272460938,-0.00307997735217214,1,0,10.4879627227783,10.4559307098389,4.50573396682739,1,1,3.78607296943665,"United States",0.0320320129394531,0.719660997390747,0,0.00481993006542325,"United States","US",0.736999988555908,0.777999997138977,1.067999958992,1.4190000295639,1.49699997901917,1.067999958992,1.06500005722046,0.00299990177154541,5.3446946144104,-0.986917972564697,6.3316125869751,0,-2.566645860672,16.4400005340576,2.90417146682739,0.534695386886597,5.92000007629395,3,0.0499997138977051,5.01000022888184,-0.00722975144162774,0.00200009346008301,72.4519500732422
1998,2,"USA",1.54999995231628,62.4700012207031,"United States",65.620002746582,2.33999991416931,1.13300001621246,0.00800001621246338,1.125,,,0,0,1.60943794250488,0,0,-3.15000152587891,-0.789999961853027,1.60943794250488,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73.8225021362305,,,,,,,-0.00199997425079346,-2.40999603271484,0.00481993006542325,1,0,10.5193786621094,10.4879627227783,4.40141868591309,1,1,4.50573396682739,"United States",0.0314159393310547,-0.104315280914307,0,-0.0252000633627176,"United States","US",0.722000002861023,0.760999977588654,1.07000005245209,1.41100001335144,1.47399997711182,1.07000005245209,1.067999958992,0.00200009346008301,8.13904666900635,2.79435205459595,5.3446946144104,0,-3.36420154571533,22.3600006103516,3.43886685371399,-0.819497346878052,3.23999977111816,3,-0.279999732971191,5.05999994277954,-0.00630029756575823,0.00299990177154541,70.082160949707
1999,2,"USA",2.19000005722046,58.8800010681152,"United States",62.4700012207031,1.54999995231628,1.13399994373322,0.000999927520751953,1.13300001621246,,,0,0,1.60943794250488,0,0,-3.59000015258789,0.640000104904175,1.60943794250488,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.7785110473633,,,,,,,0.00800001621246338,-3.15000152587891,-0.0252000633627176,1,0,10.5554361343384,10.5193786621094,4.86890125274658,1,1,4.40141868591309,"United States",0.0360574722290039,0.467482566833496,0,-0.00358974002301693,"United States","US",0.73199999332428,0.782000005245209,1.07299995422363,1.42900002002716,1.47800004482269,1.07299995422363,1.07000005245209,0.00299990177154541,8.76775074005127,0.628704071044922,8.13904666900635,0,-3.84130024909973,25.6000003814697,2.61936950683594,0.808769941329956,-1.22999954223633,3,-0.140000343322754,4.78000020980835,-0.0107696475461125,0.00200009346008301,66.842903137207
