"country","iso2c","quarter","bid_ask_local_spread_bloomberg","bid_ask_usd_spread_bloomberg","bond_spread_local_USD_10yr_bloomberg","bond_spread_usd_USD_10yr_bloomberg","bond_spread_local_dMark_10yr_bloomberg","bond_spread_usd_dMark_10yr_bloomberg","bond_spread_local_yen_10yr_bloomberg","bond_spread_usd_yen_10yr_bloomberg","bond_spread_local_pound_10yr_bloomberg","bond_spread_usd_pound_10yr_bloomberg","bond_yld_datastream","bond_yld_datastream_details","ext_debt_datastream","ext_debt_datastream_details","surplus_deficit_datastream","surplus_deficit_datastream_details"
"Australia","AU",2005.3,0.0299999999999998,,96.1733571428571,,198.45,,382.392857142857,,90.75,,5.2,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",556005.04,"AU GROSS EXTERNAL DEBT CURN (~U$)",-555,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2005.4,0.0300000000000001,,87.6129846153846,,197.846153846154,,382.553846153846,,106.030769230769,,5.39,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",562090.59,"AU GROSS EXTERNAL DEBT CURN (~U$)",812,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2006.1,0.03,,69.1270230769231,,175.438461538462,,366.815384615385,,105.607692307692,,5.27,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",579354.45,"AU GROSS EXTERNAL DEBT CURN (~U$)",1306.3,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2006.2,0.0299999999999999,,62.9220230769231,,173.023076923077,,379.776923076923,,109.346153846154,,5.69,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",626843.14,"AU GROSS EXTERNAL DEBT CURN (~U$)",1903,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2006.3,0.0299999999999999,,84.5369153846154,,184.807692307692,,392.661538461538,,111.938461538462,,5.74,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",661924.1,"AU GROSS EXTERNAL DEBT CURN (~U$)",-399.3,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2006.4,0.03,,100.789561538462,,186.730769230769,,395.176923076923,,104.392307692308,,5.65,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",713079.5,"AU GROSS EXTERNAL DEBT CURN (~U$)",2680.3,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2007.1,0.0299999999999999,,111.041538461538,,177.692307692308,,412.369230769231,,90.8307692307692,,5.81,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",755343.2,"AU GROSS EXTERNAL DEBT CURN (~U$)",1432.7,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2007.2,0.03,,115.1687,,165.030769230769,,426.892307692308,,78.4538461538462,,6.01,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",817563.69,"AU GROSS EXTERNAL DEBT CURN (~U$)",3368.7,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2007.3,0.03,,128.169092307692,,165.9,,428.407692307692,,84.6384615384615,,6.02,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",868044.19,"AU GROSS EXTERNAL DEBT CURN (~U$)",-438,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2007.4,0.03,,183.678730769231,,188.069230769231,,453.061538461538,,133.984615384615,,6.14,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",866232.51,"AU GROSS EXTERNAL DEBT CURN (~U$)",1179,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2008.1,0.03,,252.324384615385,,221.1,,474.169230769231,,168.853846153846,,6.15,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",928069.3,"AU GROSS EXTERNAL DEBT CURN (~U$)",1815.7,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2008.2,0.0299999999999998,,251.837223076923,,211.891530769231,,475.041307692308,,155.1184,,6.37,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",975351.2,"AU GROSS EXTERNAL DEBT CURN (~U$)",6228.7,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2008.3,0.03,,203.964161538462,,163.987292307692,,441.860353846154,,122.634761538462,,5.96,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",867997.95,"AU GROSS EXTERNAL DEBT CURN (~U$)",-692,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2008.4,0.03,,150.290892307692,,122.659384615385,,332.479153846154,,78.8056615384615,,4.79,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",815211.03,"AU GROSS EXTERNAL DEBT CURN (~U$)",-1861.3,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2009.1,0.0299999999999999,,147.400315384615,,111.496430769231,,291.906653846154,,85.0969384615385,,4.22,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",795713.45,"AU GROSS EXTERNAL DEBT CURN (~U$)",-1430.3,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2009.2,0.0299999999999999,,170.9932,,162.629923076923,,358.2019,,139.985253846154,,5.02,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",892249.95,"AU GROSS EXTERNAL DEBT CURN (~U$)",-3251.7,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2009.3,0.03,,192.257523076923,,210.346969230769,,408.433884615385,,171.666776923077,,5.45,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",967977.62,"AU GROSS EXTERNAL DEBT CURN (~U$)",-4769.7,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2009.4,0.03,,198.170892307692,,217.560030769231,,410.811753846154,,173.487884615385,,5.46,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",1035242.77,"AU GROSS EXTERNAL DEBT CURN (~U$)",-4987.7,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2010.1,0.03,,183.319884615385,,232.669469230769,,419.637007692308,,152.625361538462,,5.55,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",1053382.4,"AU GROSS EXTERNAL DEBT CURN (~U$)",-3226.7,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2010.2,0.03,,205.159923076923,,269.481453846154,,425.152353846154,,180.646446153846,,5.53,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",1010538.14,"AU GROSS EXTERNAL DEBT CURN (~U$)",-3559.3,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2010.3,0.0300000000000002,,222.808253846154,,256.408169230769,,396.433530769231,,185.634984615385,,5.04,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",1127155.2,"AU GROSS EXTERNAL DEBT CURN (~U$)",-6892.3,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
"Australia","AU",2010.4,0.0300000000000001,,247.42035,,268.890271428571,,428.762221428571,,211.321057142857,,5.34,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)",1177472.22,"AU GROSS EXTERNAL DEBT CURN (~U$)",-3717,"AU COMMONWEALTH CASH BALANCE CURN (~U$)"
