"country","iso2c","date","bid_ask_local_spread_bloomberg","bid_ask_usd_spread_bloomberg","bond_spread_local_US_10yr_bloomberg","bond_spread_usd_US_10yr_bloomberg","bond_spread_local_DE_10yr_bloomberg","bond_spread_usd_DE_10yr_bloomberg","bond_spread_local_JP_10yr_bloomberg","bond_spread_usd_JP_10yr_bloomberg","bond_spread_local_UK_10yr_bloomberg","bond_spread_usd_UK_10yr_bloomberg"
"Australia","AU","2005-07-29",0.0300000000000002,,83.0981,,186.8,,379.8,,79.6,
"Australia","AU","2005-08-05",0.0300000000000002,,90.9838,,192.3,,391,,88.2,
"Australia","AU","2005-08-12",0.0299999999999994,,106.0869,,201.4,,385.7,,96.8,
"Australia","AU","2005-08-19",0.0299999999999994,,90.87,,191.4,,369.8,,84.5,
"Australia","AU","2005-08-26",0.0300000000000002,,89.2162,,193.2,,366.8,,86.4,
"Australia","AU","2005-09-02",0.0299999999999994,,95.3013,,193.4,,366.8,,85,
"Australia","AU","2005-09-09",0.0299999999999994,,102.8013,,210.2,,380,,99,
"Australia","AU","2005-09-16",0.0300000000000002,,86.6062,,202.6,,377.7,,94.9,
"Australia","AU","2005-09-23",0.0300000000000002,,90.6494,,209.6,,378.1,,93.8,
"Australia","AU","2005-09-30",0.0299999999999994,,101.9056,,219.9,,386.3,,106,
"Australia","AU","2005-10-07",0.0300000000000002,,96.2512,,216.2,,381.8,,106.9,
"Australia","AU","2005-10-14",0.0300000000000002,,94.3669,,213.6,,385.2,,101.1,
"Australia","AU","2005-10-21",0.0299999999999994,,96.4281,,212.1,,383.7,,98.6,
"Australia","AU","2005-10-28",0.0300000000000002,,84.9194,,201.2,,389.6,,105.8,
"Australia","AU","2005-11-04",0.0300000000000002,,88.69,,205.6,,393.5,,111.3,
"Australia","AU","2005-11-11",0.0300000000000002,,86.7262,,192.4,,386.1,,99.6,
"Australia","AU","2005-11-18",0.0300000000000002,,84.0938,,179.4,,386.8,,106.5,
"Australia","AU","2005-11-25",0.0300000000000002,,94.6719,,195.1,,392.8,,117.7,
"Australia","AU","2005-12-02",0.0299999999999994,,83.1569,,195,,383.2,,112.1,
"Australia","AU","2005-12-09",0.0300000000000002,,84.18,,192.4,,380.5,,103.8,
"Australia","AU","2005-12-16",0.0300000000000002,,83.34,,192.5,,373.5,,103.1,
"Australia","AU","2005-12-23",0.0300000000000002,,83.1475,,188.9,,366,,103.4,
"Australia","AU","2005-12-30",0.0300000000000002,,78.9969,,187.6,,370.5,,108.5,
"Australia","AU","2006-01-06",0.0300000000000002,,78.2794,,189.8,,371,,108.4,
"Australia","AU","2006-01-13",0.0299999999999994,,79.2663,,188.6,,369.1,,109.2,
"Australia","AU","2006-01-20",0.0300000000000002,,81.1806,,179,,368.5,,112.3,
"Australia","AU","2006-01-27",0.0300000000000002,,83.1831,,186.5,,379.5,,114.7,
"Australia","AU","2006-02-03",0.0300000000000002,,82.2844,,186.1,,376,,116.6,
"Australia","AU","2006-02-10",0.0300000000000002,,63.6537,,174.9,,362,,104.3,
"Australia","AU","2006-02-17",0.0300000000000002,,67.3856,,176.8,,369.5,,108.5,
"Australia","AU","2006-02-24",0.0300000000000002,,62.2369,,170.9,,360.4,,103.1,
"Australia","AU","2006-03-03",0.0300000000000002,,61.5888,,170.9,,367,,104,
"Australia","AU","2006-03-10",0.0299999999999994,,60.43,,167.8,,370.5,,102.1,
"Australia","AU","2006-03-17",0.0300000000000002,,58.0531,,156.4,,353.1,,88.9,
"Australia","AU","2006-03-24",0.0300000000000002,,66.2344,,170.1,,360,,100.6,
