"iso2c","year","bond_yld_10yr_fred","us_bond_10yr","bond_spread_fred","bond_spread_fred_release_year","lt_ratecov_fred","lt_ratecov_fred_release_year","bond_yld_datastream","bond_spread_datastream","bond_yld_datamarket","bond_spread_datamarket","bond_spread_fred_datastream"
"AM","2004",NA,NA,NA,NA,NA,NA,9.255,4.2075,NA,NA,4.2075
"AM","2005",NA,NA,NA,NA,NA,NA,7.125,2.4775,NA,NA,2.4775
"AM","2006",NA,NA,NA,NA,NA,NA,9.3525,4.36,NA,NA,4.36
"AM","2007",NA,NA,NA,NA,NA,NA,7.725,2.8175,NA,NA,2.8175
"AM","2008",NA,NA,NA,NA,NA,NA,10.4433333333333,6.08083333333333,NA,NA,6.08083333333333
"AM","2009",NA,NA,NA,NA,NA,NA,13.91,9.8025,NA,NA,9.8025
"AM","2010",NA,NA,NA,NA,NA,NA,15.6633333333333,11.6308333333333,NA,NA,11.6308333333333
"AM","2011",NA,NA,NA,NA,NA,NA,15.545,11.925,NA,NA,11.925
"AM","2012",NA,NA,NA,NA,NA,NA,15.825,13.28,NA,NA,13.28
"AM","2013",NA,NA,NA,NA,NA,NA,14.6075,11.49,NA,NA,11.49
"AM","2014",NA,NA,NA,NA,NA,NA,11.57,8.495,NA,NA,8.495
"AM","2015",NA,NA,NA,NA,NA,NA,15.95,13.48,NA,NA,13.48
"AR","1994",NA,NA,NA,NA,NA,NA,NA,NA,0.8863,-6.1937,NA
"AR","1995",NA,NA,NA,NA,NA,NA,NA,NA,0.82965,-5.75035,NA
"AR","1996",NA,NA,NA,NA,NA,NA,NA,NA,1.12192,-5.31641333333333,NA
"AR","1997",NA,NA,NA,NA,NA,NA,NA,NA,1.40702,-4.94548,NA
"AR","1998",NA,NA,NA,NA,NA,NA,NA,NA,1.48288,-3.78128666666667,NA
"AR","1999",NA,NA,NA,NA,NA,NA,NA,NA,1.55084,-4.08582666666667,NA
"AR","2000",NA,NA,NA,NA,NA,NA,NA,NA,1.7531,-4.27606666666667,NA
"AR","2001",NA,NA,NA,NA,NA,NA,NA,NA,1.53067,-3.48683,NA
"AR","2002",NA,NA,NA,NA,NA,NA,NA,NA,0.5746,-4.03623333333333,NA
"AR","2003",NA,NA,NA,NA,NA,NA,NA,NA,0.68125,-3.33375,NA
"AR","2004",NA,NA,NA,NA,NA,NA,NA,NA,0.7424,-3.53176666666667,NA
"AR","2005",NA,NA,NA,NA,NA,NA,NA,NA,0.79355,-3.49645,NA
"AR","2006",NA,NA,NA,NA,NA,NA,NA,NA,1.02685,-3.76481666666667,NA
"AR","2007",NA,NA,NA,NA,NA,NA,NA,NA,1.1633,-3.46586666666667,NA
"AR","2008",NA,NA,NA,NA,NA,NA,NA,NA,0.84855,-2.81811666666667,NA
"AR","2009",NA,NA,NA,NA,NA,NA,NA,NA,0.7477,-2.50896666666667,NA
"AR","2010",NA,NA,NA,NA,NA,NA,NA,NA,1.22033,-1.99383666666667,NA
"AR","2011",NA,NA,NA,NA,NA,NA,NA,NA,1.41676,-1.36907333333333,NA
"AR","2012",NA,NA,NA,NA,NA,NA,NA,NA,1.34433,-0.45817,NA
"AR","2013",NA,NA,NA,NA,NA,NA,NA,NA,1.3916,-0.959233333333334,NA
"AR","2014",NA,NA,NA,NA,NA,NA,NA,NA,1.70668,-0.834153333333334,NA
"AT","1985",NA,NA,NA,NA,NA,NA,7.77,-3.2025,NA,NA,-3.2025
"AT","1986",NA,NA,NA,NA,NA,NA,7.4375,-0.415,NA,NA,-0.415
"AT","1987",NA,NA,NA,NA,NA,NA,7.005,-1.3775,NA,NA,-1.3775
"AT","1988",NA,NA,NA,NA,NA,NA,6.86,-1.9875,NA,NA,-1.9875
"AT","1989",NA,NA,NA,NA,NA,NA,7.1525,-1.3475,NA,NA,-1.3475
"AT","1990",8.7275,8.55,0.177499999999998,0.319166666666666,2.59731414796737,2.00000340750372,8.765,0.215,NA,NA,0.177499999999998
"AT","1991",8.54666666666667,7.85833333333333,0.688333333333333,0.782500000000001,1.43590086887706,1.6336053848293,8.5575,0.697499999999999,NA,NA,0.688333333333333
"AT","1992",8.13916666666667,7.01,1.12916666666667,1.08583333333333,3.64712757682951,7.0295226165815,8.1725,1.1625,NA,NA,1.12916666666667
"AT","1993",6.705,5.87333333333333,0.831666666666667,0.644166666666666,5.90933308373932,6.33234516960218,6.705,0.6625,NA,NA,0.831666666666667
"AT","1994",7.025,7.08,-0.0549999999999997,-0.0291666666666659,9.24848722163476,4.60897134085454,7.0275,-0.4575,NA,NA,-0.0549999999999997
"AT","1995",7.13416666666667,6.58,0.554166666666666,0.640833333333333,5.18973852092986,5.04681858586968,7.135,0.1725,NA,NA,0.554166666666666
"AT","1996",6.3225,6.43833333333333,-0.115833333333334,-0.451666666666666,3.98028662677422,5.84338426577962,6.3225,-0.4975,NA,NA,-0.115833333333334
"AT","1997",5.6825,6.3525,-0.67,-0.584166666666667,2.36829681418542,5.42434844015808,5.6825,-1.0025,NA,NA,-0.67
"AT","1998",4.71333333333333,5.26416666666667,-0.550833333333334,-0.670833333333333,7.99102980895516,9.27266905644696,4.715,-1.005,NA,NA,-0.550833333333334
"AT","1999",4.67916666666667,5.63666666666667,-0.9575,-0.905,13.2199354589094,11.3744221641947,4.6775,-1.5125,NA,NA,-0.9575
"AT","2000",5.55583333333333,6.02916666666667,-0.473333333333334,-0.273333333333333,2.62009972739372,4.19738192355574,5.5575,-0.672499999999999,NA,NA,-0.473333333333334
"AT","2001",5.075,5.0175,0.0575000000000001,0.0741666666666667,3.76077440131156,4.03087614038532,5.08,-0.5525,NA,NA,0.0575000000000001
"AT","2002",4.96666666666667,4.61083333333333,0.355833333333333,0.384166666666667,6.71262954131474,9.97648292516495,4.9625,-0.4675,NA,NA,0.355833333333333
"AT","2003",4.15333333333333,4.015,0.138333333333334,0.133333333333333,5.19887177959776,5.07618551109749,4.14,-0.815,NA,NA,0.138333333333334
