"bond_10yr","iso2c","date"
5.8,"AU",1969-07-01
5.79,"AU",1969-08-01
5.81,"AU",1969-09-01
5.83,"AU",1969-10-01
5.85,"AU",1969-11-01
5.95,"AU",1969-12-01
5.95,"AU",1970-01-01
5.96,"AU",1970-02-01
6.05,"AU",1970-03-01
6.94,"AU",1970-04-01
6.85,"AU",1970-05-01
6.86,"AU",1970-06-01
6.89,"AU",1970-07-01
6.87,"AU",1970-08-01
6.87,"AU",1970-09-01
6.88,"AU",1970-10-01
6.83,"AU",1970-11-01
6.81,"AU",1970-12-01
6.85,"AU",1971-01-01
6.85,"AU",1971-02-01
6.84,"AU",1971-03-01
6.85,"AU",1971-04-01
6.82,"AU",1971-05-01
6.83,"AU",1971-06-01
6.81,"AU",1971-07-01
6.82,"AU",1971-08-01
6.78,"AU",1971-09-01
6.58,"AU",1971-10-01
6.38,"AU",1971-11-01
6.15,"AU",1971-12-01
6.14,"AU",1972-01-01
5.84,"AU",1972-02-01
5.84,"AU",1972-03-01
5.85,"AU",1972-04-01
5.85,"AU",1972-05-01
5.85,"AU",1972-06-01
5.8,"AU",1972-07-01
5.75,"AU",1972-08-01
5.75,"AU",1972-09-01
5.77,"AU",1972-10-01
5.76,"AU",1972-11-01
5.78,"AU",1972-12-01
5.69,"AU",1973-01-01
5.76,"AU",1973-02-01
5.8,"AU",1973-03-01
6.12,"AU",1973-04-01
6.2,"AU",1973-05-01
6.72,"AU",1973-06-01
6.74,"AU",1973-07-01
6.73,"AU",1973-08-01
8.38,"AU",1973-09-01
8.35,"AU",1973-10-01
8.35,"AU",1973-11-01
8.36,"AU",1973-12-01
8.36,"AU",1974-01-01
8.36,"AU",1974-02-01
8.37,"AU",1974-03-01
8.38,"AU",1974-04-01
8.45,"AU",1974-05-01
9.52,"AU",1974-06-01
9.5,"AU",1974-07-01
9.5,"AU",1974-08-01
9.5,"AU",1974-09-01
9.5,"AU",1974-10-01
9.5,"AU",1974-11-01
9.5,"AU",1974-12-01
9.4,"AU",1975-01-01
9.5,"AU",1975-02-01
9.5,"AU",1975-03-01
9.5,"AU",1975-04-01
9.5,"AU",1975-05-01
9.5,"AU",1975-06-01
10,"AU",1975-07-01
10,"AU",1975-08-01
10,"AU",1975-09-01
10,"AU",1975-10-01
10,"AU",1975-11-01
10,"AU",1975-12-01
10.02,"AU",1976-01-01
10,"AU",1976-02-01
9.99,"AU",1976-03-01
10,"AU",1976-04-01
10,"AU",1976-05-01
9.99,"AU",1976-06-01
10,"AU",1976-07-01
9.99,"AU",1976-08-01
9.99,"AU",1976-09-01
9.98,"AU",1976-10-01
10,"AU",1976-11-01
10.41,"AU",1976-12-01
10.4,"AU",1977-01-01
10.4,"AU",1977-02-01
10.4,"AU",1977-03-01
10.4,"AU",1977-04-01
10.41,"AU",1977-05-01
10.41,"AU",1977-06-01
10.41,"AU",1977-07-01
10.41,"AU",1977-08-01
10.18,"AU",1977-09-01
10.01,"AU",1977-10-01
9.79,"AU",1977-11-01
9.5,"AU",1977-12-01
9.36,"AU",1978-01-01
9.2,"AU",1978-02-01
9.2,"AU",1978-03-01
9.17,"AU",1978-04-01
9.1,"AU",1978-05-01
9.1,"AU",1978-06-01
9.1,"AU",1978-07-01
9,"AU",1978-08-01
9,"AU",1978-09-01
8.89,"AU",1978-10-01
8.8,"AU",1978-11-01
8.8,"AU",1978-12-01
8.85,"AU",1979-01-01
9,"AU",1979-02-01
9.35,"AU",1979-03-01
9.65,"AU",1979-04-01
9.7,"AU",1979-05-01
10,"AU",1979-06-01
10.07,"AU",1979-07-01
10.07,"AU",1979-08-01
10.07,"AU",1979-09-01
10.07,"AU",1979-10-01
10.08,"AU",1979-11-01
10.08,"AU",1979-12-01
10.45,"AU",1980-01-01
10.55,"AU",1980-02-01
11.2,"AU",1980-03-01
11.73,"AU",1980-04-01
11.78,"AU",1980-05-01
11.76,"AU",1980-06-01
11.78,"AU",1980-07-01
11.82,"AU",1980-08-01
11.78,"AU",1980-09-01
11.9,"AU",1980-10-01
12.42,"AU",1980-11-01
12.6,"AU",1980-12-01
13.1,"AU",1981-01-01
13.1,"AU",1981-02-01
13.1,"AU",1981-03-01
13.1,"AU",1981-04-01
13.1,"AU",1981-05-01
13.1,"AU",1981-06-01
13.9,"AU",1981-07-01
15,"AU",1981-08-01
15,"AU",1981-09-01
15,"AU",1981-10-01
15,"AU",1981-11-01
15,"AU",1981-12-01
15,"AU",1982-01-01
15.1,"AU",1982-02-01
15.15,"AU",1982-03-01
15.2,"AU",1982-04-01
16.4,"AU",1982-05-01
16.4,"AU",1982-06-01
16.4,"AU",1982-07-01
16.5,"AU",1982-08-01
15.2,"AU",1982-09-01
14.55,"AU",1982-10-01
14.6,"AU",1982-11-01
14,"AU",1982-12-01
13,"AU",1983-01-01
13.6,"AU",1983-02-01
14.4,"AU",1983-03-01
14.1,"AU",1983-04-01
13.1,"AU",1983-05-01
14.7,"AU",1983-06-01
14.8,"AU",1983-07-01
14.7,"AU",1983-08-01
14.15,"AU",1983-09-01
13.4,"AU",1983-10-01
13.2,"AU",1983-11-01
13.5,"AU",1983-12-01
13.5,"AU",1984-01-01
14,"AU",1984-02-01
14.1,"AU",1984-03-01
13.9,"AU",1984-04-01
14.15,"AU",1984-05-01
13.75,"AU",1984-06-01
13.15,"AU",1984-07-01
12.8,"AU",1984-08-01
13.1,"AU",1984-09-01
13.2,"AU",1984-10-01
13.25,"AU",1984-11-01
13.4,"AU",1984-12-01
13.1,"AU",1985-01-01
13.7,"AU",1985-02-01
13.8,"AU",1985-03-01
13.95,"AU",1985-04-01
13.8,"AU",1985-05-01
13.5,"AU",1985-06-01
13.4,"AU",1985-07-01
13.95,"AU",1985-08-01
13.8,"AU",1985-09-01
14.55,"AU",1985-10-01
15.05,"AU",1985-11-01
14.85,"AU",1985-12-01
14.1,"AU",1986-01-01
13.7,"AU",1986-02-01
12.6,"AU",1986-03-01
12.25,"AU",1986-04-01
12.65,"AU",1986-05-01
12.95,"AU",1986-06-01
14.2,"AU",1986-07-01
14.1,"AU",1986-08-01
13.85,"AU",1986-09-01
13.6,"AU",1986-10-01
13.6,"AU",1986-11-01
13.4,"AU",1986-12-01
13.8,"AU",1987-01-01
14,"AU",1987-02-01
13.45,"AU",1987-03-01
13.05,"AU",1987-04-01
13,"AU",1987-05-01
12.8,"AU",1987-06-01
12.95,"AU",1987-07-01
12.95,"AU",1987-08-01
12.5,"AU",1987-09-01
13.65,"AU",1987-10-01
13.3,"AU",1987-11-01
12.85,"AU",1987-12-01
12.4,"AU",1988-01-01
12.3,"AU",1988-02-01
11.9,"AU",1988-03-01
11.5,"AU",1988-04-01
12.3,"AU",1988-05-01
11.95,"AU",1988-06-01
11.95,"AU",1988-07-01
11.8,"AU",1988-08-01
11.95,"AU",1988-09-01
11.9,"AU",1988-10-01
12.35,"AU",1988-11-01
12.95,"AU",1988-12-01
13.3,"AU",1989-01-01
13.65,"AU",1989-02-01
13.65,"AU",1989-03-01
13.4,"AU",1989-04-01
13.9,"AU",1989-05-01
13.5,"AU",1989-06-01
13.35,"AU",1989-07-01
12.95,"AU",1989-08-01
13.65,"AU",1989-09-01
13.55,"AU",1989-10-01
13.1,"AU",1989-11-01
12.9,"AU",1989-12-01
12.8,"AU",1990-01-01
13.3,"AU",1990-02-01
13.44,"AU",1990-03-01
13.78,"AU",1990-04-01
13.51,"AU",1990-05-01
13.4,"AU",1990-06-01
13.16,"AU",1990-07-01
13.49,"AU",1990-08-01
13.63,"AU",1990-09-01
13.35,"AU",1990-10-01
12.23,"AU",1990-11-01
12.07,"AU",1990-12-01
11.52,"AU",1991-01-01
11.53,"AU",1991-02-01
11.38,"AU",1991-03-01
10.98,"AU",1991-04-01
10.75,"AU",1991-05-01
11.17,"AU",1991-06-01
10.99,"AU",1991-07-01
10.67,"AU",1991-08-01
10.31,"AU",1991-09-01
9.82,"AU",1991-10-01
9.78,"AU",1991-11-01
9.39,"AU",1991-12-01
10.11,"AU",1992-01-01
10.04,"AU",1992-02-01
9.89,"AU",1992-03-01
9.43,"AU",1992-04-01
9.12,"AU",1992-05-01
8.9,"AU",1992-06-01
8.3,"AU",1992-07-01
8.97,"AU",1992-08-01
8.94,"AU",1992-09-01
8.86,"AU",1992-10-01
9.14,"AU",1992-11-01
8.94,"AU",1992-12-01
8.6,"AU",1993-01-01
7.98,"AU",1993-02-01
7.82,"AU",1993-03-01
7.55,"AU",1993-04-01
7.71,"AU",1993-05-01
7.37,"AU",1993-06-01
6.88,"AU",1993-07-01
6.64,"AU",1993-08-01
6.84,"AU",1993-09-01
6.49,"AU",1993-10-01
6.81,"AU",1993-11-01
6.68,"AU",1993-12-01
6.36,"AU",1994-01-01
7.05,"AU",1994-02-01
7.95,"AU",1994-03-01
8.44,"AU",1994-04-01
8.79,"AU",1994-05-01
9.63,"AU",1994-06-01
9.57,"AU",1994-07-01
9.36,"AU",1994-08-01
10.33,"AU",1994-09-01
10.51,"AU",1994-10-01
10.47,"AU",1994-11-01
10.04,"AU",1994-12-01
10.3345,"AU",1995-01-01
10.1465,"AU",1995-02-01
10.13782609,"AU",1995-03-01
9.798823529,"AU",1995-04-01
9.106086957,"AU",1995-05-01
8.856190476,"AU",1995-06-01
9.081904762,"AU",1995-07-01
9.124347826,"AU",1995-08-01
8.686190476,"AU",1995-09-01
8.508636364,"AU",1995-10-01
8.495,"AU",1995-11-01
8.254736842,"AU",1995-12-01
8.112380952,"AU",1996-01-01
8.248571429,"AU",1996-02-01
8.808095238,"AU",1996-03-01
8.873684211,"AU",1996-04-01
8.832173913,"AU",1996-05-01
8.931578947,"AU",1996-06-01
8.629565217,"AU",1996-07-01
8.04,"AU",1996-08-01
8.003333333,"AU",1996-09-01
7.550434783,"AU",1996-10-01
7.156666667,"AU",1996-11-01
7.324,"AU",1996-12-01
7.459047619,"AU",1997-01-01
7.394,"AU",1997-02-01
7.899473684,"AU",1997-03-01
7.923809524,"AU",1997-04-01
7.674545455,"AU",1997-05-01
7.151,"AU",1997-06-01
6.642608696,"AU",1997-07-01
6.650952381,"AU",1997-08-01
6.311363636,"AU",1997-09-01
6.182173913,"AU",1997-10-01
6.031,"AU",1997-11-01
6.139047619,"AU",1997-12-01
5.806,"AU",1998-01-01
5.887,"AU",1998-02-01
5.865,"AU",1998-03-01
5.685,"AU",1998-04-01
5.639047619,"AU",1998-05-01
5.576190476,"AU",1998-06-01
5.521304348,"AU",1998-07-01
5.638571429,"AU",1998-08-01
5.345909091,"AU",1998-09-01
4.965909091,"AU",1998-10-01
5.130952381,"AU",1998-11-01
4.854761905,"AU",1998-12-01
5.127894737,"AU",1999-01-01
5.3,"AU",1999-02-01
5.526521739,"AU",1999-03-01
5.3575,"AU",1999-04-01
5.875714286,"AU",1999-05-01
6.206666667,"AU",1999-06-01
6.135909091,"AU",1999-07-01
6.34,"AU",1999-08-01
6.341363636,"AU",1999-09-01
6.606666667,"AU",1999-10-01
6.556363636,"AU",1999-11-01
6.737142857,"AU",1999-12-01
7.177894737,"AU",2000-01-01
6.957619048,"AU",2000-02-01
6.570434783,"AU",2000-03-01
6.264705882,"AU",2000-04-01
6.465652174,"AU",2000-05-01
6.172380952,"AU",2000-06-01
6.161904762,"AU",2000-07-01
6.227391304,"AU",2000-08-01
6.136190476,"AU",2000-09-01
6.107954545,"AU",2000-10-01
5.989545455,"AU",2000-11-01
5.543157895,"AU",2000-12-01
5.40547619,"AU",2001-01-01
5.32125,"AU",2001-02-01
5.130681818,"AU",2001-03-01
5.577222222,"AU",2001-04-01
5.943478261,"AU",2001-05-01
5.89675,"AU",2001-06-01
6.086363636,"AU",2001-07-01
5.761521739,"AU",2001-08-01
5.57825,"AU",2001-09-01
5.407608696,"AU",2001-10-01
5.457727273,"AU",2001-11-01
5.816842105,"AU",2001-12-01
