	l_bond_spread_fred	l_frt_2015	d_frt_2015	l_pubdebtgdp_gen	d_pubdebtgdp_gen	l_frt2015xl_pub_gen	d_frt_2015xd_pubdebtgdp_gen	l_frt2015xd_pubdebtgdp_gen	d_frt_2015xl_pub_gen	l_infl	d_infl	l_cgdpgrowth	d_cgdpgrowth	l_pcgdp2005l	d_pcgdp2005l	l_oecdgrowth	d_oecdgrowth	l_us3mrate	d_us3mrate	l_vix	d_vix	l_uds	d_uds	imf_program_lag	_cons	
l_bond_spread_fred	  .0024576	 .00076711	-.00362571	 .00004025	-.00025785	-.00001492	-.00021643	 .00001782	 .00006958	-.00098473	-8.141e-06	-.00134671	 -.0009745	 .00020974	 .00125477	 .00122705	 .00064731	 .00013397	-.00004776	 .00002986	-.00006636	-.00173723	-.00310307	-.02391639	-.00783625	
l_frt_2015	 .00076711	 .00967552	-.02486971	 .00008762	 -.0000346	-.00008857	 .00089857	-7.060e-06	  .0003907	-.00016555	-.00022201	 .00131234	 .00135348	 .00036338	-.00228164	-.00111953	-.00073394	  .0003022	 .00125355	 .00018392	 .00021011	-.00175228	 .00281223	-.00829854	-.02020058	
d_frt_2015	-.00362571	-.02486971	  1.002995	  .0007285	 .00016248	 .00015898	-.00162687	 .00143558	-.01611595	 .01036192	 .00629328	 .00590301	 .00458419	 .00086702	-.01537145	-.00349291	 .00056708	 .00206103	 .00500973	 .00140617	 .00211206	 .02603667	-.01797737	 .11537491	-.17327517	
l_pubdebtgdp_gen	 .00004025	 .00008762	  .0007285	 .00002277	 .00005139	-1.675e-06	 .00004749	-2.348e-06	-8.763e-06	 .00014232	 .00014702	 .00005167	 .00001452	   .000015	-.00003558	-.00001073	 .00001683	 -.0000158	 .00008233	 .00001445	  .0000172	 8.844e-06	-.00034401	 .00229987	-.00264664	
d_pubdebtgdp_gen	-.00025785	 -.0000346	 .00016248	 .00005139	 .00027368	 1.245e-07	 .00025877	-.00001612	 3.445e-06	 .00072227	 .00048164	 .00059872	 .00030401	-3.089e-06	 -.0003098	-.00031519	-.00008626	-.00008191	 .00036119	 .00004143	 .00006435	 .00061753	  .0000256	 .01293316	 -.0068193	
l_frt2015xl_pub_gen	-.00001492	-.00008857	 .00015898	-1.675e-06	 1.245e-07	 8.997e-07	-7.881e-06	 2.473e-07	-2.745e-06	 3.499e-07	-2.228e-06	-8.602e-06	 -.0000104	-4.647e-06	 .00002076	 6.155e-06	 4.158e-06	-3.837e-06	-.00001326	-2.196e-06	-2.241e-06	 .00001699	-3.178e-06	 .00010538	 .00030669	
d_frt_2015xd_pubdebtgdp_gen	-.00021643	 .00089857	-.00162687	 .00004749	 .00025877	-7.881e-06	 .00063087	-.00001208	 .00002472	 .00079332	 .00060256	 .00074519	 .00048297	  .0000297	-.00084978	-.00049103	-.00018475	  .0000485	 .00058017	 .00005907	 .00006301	 .00050301	 .00044964	 .01562629	-.00824629	
l_frt2015xd_pubdebtgdp_gen	 .00001782	-7.060e-06	 .00143558	-2.348e-06	-.00001612	 2.473e-07	-.00001208	 9.618e-06	-.00002501	-.00003641	 -.0000157	-.00004337	-.00004921	-4.468e-06	 .00004872	 .00003459	 .00004497	-.00001997	-.00002194	-7.183e-07	 6.001e-08	-.00010478	-.00025298	-.00076187	 .00063309	
d_frt_2015xl_pub_gen	 .00006958	  .0003907	-.01611595	-8.763e-06	 3.445e-06	-2.745e-06	 .00002472	-.00002501	  .0002617	-.00014926	-.00009095	-.00008302	-.00005798	-7.676e-06	 .00022335	 .00006579	-2.877e-06	-.00002151	-.00006523	-.00001883	-.00003148	-.00038491	 .00023783	-.00202289	 .00211982	
l_infl	-.00098473	-.00016555	 .01036192	 .00014232	 .00072227	 3.499e-07	 .00079332	-.00003641	-.00014926	 .00283308	 .00215151	 .00187888	 .00098007	-2.156e-06	-.00114372	-.00139998	-.00051637	 -.0001812	 .00116816	 .00012249	 .00014619	  .0026785	-.00158608	 .03813923	-.02187536	
