	l_lt_ratecov_fred	l_frt_2015	d_frt_2015	l_pubdebtgdp_gen	d_pubdebtgdp_gen	l_frt2015xl_pub_gen	d_frt_2015xd_pubdebtgdp_gen	l_frt2015xd_pubdebtgdp_gen	d_frt_2015xl_pub_gen	l_infl	d_infl	l_cgdpgrowth	d_cgdpgrowth	l_pcgdp2005l	d_pcgdp2005l	l_oecdgrowth	d_oecdgrowth	l_us3mrate	d_us3mrate	l_vix	d_vix	l_uds	d_uds	imf_program_lag	_cons	
l_lt_ratecov_fred	 .00311658	 .00644898	-.03713702	-.00016085	-.00026984	-.00004138	 .00070304	-.00019264	 .00051082	 .00154145	-.00015278	 .00038954	-.00189448	-.00004109	-.00305328	 .00325268	 .00534472	-.00347676	-.00822802	-.00044652	 .00010337	 .01078022	 .02533803	 -.0299693	-.02110341	
l_frt_2015	 .00644898	 .67050649	-1.8060374	 .00899699	  .0037655	-.00663705	-.00570538	-.01377112	 .03711223	 .00093087	-.00380083	 .05249914	 .05702153	 .02824249	-.15712837	-.01309434	-.01608349	 .04501945	-.01142609	-.00729323	-.01293362	 .33516301	 .05256671	-.58584642	-2.2116284	
d_frt_2015	-.03713702	-1.8060374	 17.717065	-.01994656	-.06288117	 .01832303	-.10808345	 .06683059	-.28822041	 .16121076	 .01975385	-.18205721	-.15300056	-.11628452	 .50959781	 .06950371	 .00093587	-.35671907	 .17344712	 .06009238	  .1223925	 .11581426	 .74940741	 1.6161463	 5.2968762	
l_pubdebtgdp_gen	-.00016085	 .00899699	-.01994656	 .00060312	 .00049441	-.00011301	 .00024788	-.00017755	 .00054984	 .00115811	-.00058629	 .00128077	 .00100989	 .00105752	-.00253008	 .00025878	 .00021425	 .00159588	 -.0000201	-.00011562	-.00025151	-.00349539	-.00375312	-.03161568	-.07737871	
d_pubdebtgdp_gen	-.00026984	  .0037655	-.06288117	 .00049441	 .00299788	-.00006205	 .00158105	-.00038914	 .00087292	-.00194544	-.00221374	 .00067769	 -.0002514	 .00087625	 .00163743	 .00286999	 .00445733	 .00251412	 .00025891	 .00054791	 .00005183	-.00092477	 -.0136589	-.09480668	-.08585947	
l_frt2015xl_pub_gen	-.00004138	-.00663705	 .01832303	-.00011301	-.00006205	 .00006928	 .00002598	 .00013482	-.00038446	 .00001425	 .00012484	-.00052709	-.00057957	-.00031163	 .00158474	  .0000966	 .00010903	-.00056117	  .0001501	 .00009362	 .00015846	-.00229433	  .0003136	 .00669529	 .02265012	
d_frt_2015xd_pubdebtgdp_gen	 .00070304	-.00570538	-.10808345	 .00024788	 .00158105	 .00002598	 .00656934	 5.308e-06	 .00144797	 -.0013297	 .00089088	-.00046858	 .00088454	 .00059509	-.00224211	 .00236698	 .00251793	 .00167461	-.00078412	 .00003397	-.00002293	-.00981239	-.01048618	-.04898523	-.03298799	
l_frt2015xd_pubdebtgdp_gen	-.00019264	-.01377112	 .06683059	-.00017755	-.00038914	 .00013482	 5.308e-06	 .00045079	-.00121352	 .00083537	 .00034783	-.00091918	-.00088231	-.00074343	 .00301886	 .00004005	-.00009775	-.00179739	 .00097519	 .00024646	 .00060295	-.00782631	-.00028439	 .01909748	 .05257979	
d_frt_2015xl_pub_gen	 .00051082	 .03711223	-.28822041	 .00054984	 .00087292	-.00038446	 .00144797	-.00121352	 .00509125	-.00243479	  -.000395	 .00298016	 .00269521	 .00228513	-.01019156	-.00058248	 .00010195	 .00584374	-.00303491	-.00113879	-.00211786	 .00121202	-.01480831	-.03857569	-.11574225	
l_infl	 .00154145	 .00093087	 .16121076	 .00115811	-.00194544	 .00001425	 -.0013297	 .00083537	-.00243479	 .02753803	 .01162475	 .00560049	-.00145547	-.00106477	 .00203783	-.00654557	 .00136155	-.01042877	 .00158667	 .00035139	 .00390929	-.01192678	 .04476734	 .00077296	-.06017794	
