worldbank_code,year,country,obi3
"AUT",1960,"Austria ",
"AUT",1961,"Austria ",
"AUT",1962,"Austria ",
"AUT",1963,"Austria ",
"AUT",1964,"Austria ",
"AUT",1965,"Austria ",
"AUT",1966,"Austria ",
"AUT",1967,"Austria ",
"AUT",1968,"Austria ",
"AUT",1969,"Austria ",
"AUT",1970,"Austria ",
"AUT",1971,"Austria ",
"AUT",1972,"Austria ",
"AUT",1973,"Austria ",
"AUT",1974,"Austria ",
"AUT",1975,"Austria ",
"AUT",1976,"Austria ",
"AUT",1977,"Austria ",
"AUT",1978,"Austria ",
"AUT",1979,"Austria ",
"AUT",1980,"Austria ",
"AUT",1981,"Austria ",
"AUT",1982,"Austria ",
"AUT",1983,"Austria ",
"AUT",1984,"Austria ",
"AUT",1985,"Austria ",.7061905
"AUT",1986,"Austria ",.7061905
"AUT",1987,"Austria ",.7061905
"AUT",1988,"Austria ",.7061905
"AUT",1989,"Austria ",.7061905
"AUT",1990,"Austria ",.7061905
"AUT",1991,"Austria ",.7061905
"AUT",1992,"Austria ",.7061905
"AUT",1993,"Austria ",.7061905
"AUT",1994,"Austria ",.7061905
"AUT",1995,"Austria ",.7061905
"AUT",1996,"Austria ",.7061905
"AUT",1997,"Austria ",.7061905
"AUT",1998,"Austria ",.7061905
"AUT",1999,"Austria ",.7061905
"AUT",2000,"Austria ",.7061905
"AUT",2001,"Austria ",.7061905
"AUT",2002,"Austria ",.7061905
"AUT",2003,"Austria ",.7061905
"AUT",2004,"Austria ",.7061905
"AUT",2005,"Austria ",.7061905
"AUT",2006,"Austria ",.7061905
"AUT",2007,"Austria ",.7061905
"AUT",2008,"Austria ",.7061905
"AUT",2009,"Austria ",.7061905
"AUT",2010,"Austria ",
"AUT",2011,"Austria ",
"AUT",2012,"Austria ",
"BEL",1960,"Belgium ",
"BEL",1961,"Belgium ",
"BEL",1962,"Belgium ",
"BEL",1963,"Belgium ",
"BEL",1964,"Belgium ",
"BEL",1965,"Belgium ",
"BEL",1966,"Belgium ",
"BEL",1967,"Belgium ",
"BEL",1968,"Belgium ",
"BEL",1969,"Belgium ",
"BEL",1970,"Belgium ",
"BEL",1971,"Belgium ",
"BEL",1972,"Belgium ",
"BEL",1973,"Belgium ",
"BEL",1974,"Belgium ",
"BEL",1975,"Belgium ",
"BEL",1976,"Belgium ",
"BEL",1977,"Belgium ",
"BEL",1978,"Belgium ",
"BEL",1979,"Belgium ",
"BEL",1980,"Belgium ",
"BEL",1981,"Belgium ",
"BEL",1982,"Belgium ",
"BEL",1983,"Belgium ",
"BEL",1984,"Belgium ",
"BEL",1985,"Belgium ",.6514286
"BEL",1986,"Belgium ",.6514286
"BEL",1987,"Belgium ",.6514286
"BEL",1988,"Belgium ",.6514286
"BEL",1989,"Belgium ",.6514286
"BEL",1990,"Belgium ",.6514286
"BEL",1991,"Belgium ",.6514286
"BEL",1992,"Belgium ",.6514286
"BEL",1993,"Belgium ",.6514286
"BEL",1994,"Belgium ",.6514286
"BEL",1995,"Belgium ",.6514286
"BEL",1996,"Belgium ",.6514286
"BEL",1997,"Belgium ",.6514286
"BEL",1998,"Belgium ",.6514286
"BEL",1999,"Belgium ",.6514286
"BEL",2000,"Belgium ",.6514286
"BEL",2001,"Belgium ",.6514286
"BEL",2002,"Belgium ",.6514286
"BEL",2003,"Belgium ",.6514286
"BEL",2004,"Belgium ",.6514286
"BEL",2005,"Belgium ",.6514286
"BEL",2006,"Belgium ",.6514286
"BEL",2007,"Belgium ",.6514286
"BEL",2008,"Belgium ",.6514286
"BEL",2009,"Belgium ",.6514286
"BEL",2010,"Belgium ",
"BEL",2011,"Belgium ",
"BEL",2012,"Belgium ",
"BGR",1960,"Bulgaria ",
"BGR",1961,"Bulgaria ",
"BGR",1962,"Bulgaria ",
"BGR",1963,"Bulgaria ",
"BGR",1964,"Bulgaria ",
"BGR",1965,"Bulgaria ",
"BGR",1966,"Bulgaria ",
"BGR",1967,"Bulgaria ",
"BGR",1968,"Bulgaria ",
"BGR",1969,"Bulgaria ",
"BGR",1970,"Bulgaria ",
"BGR",1971,"Bulgaria ",
"BGR",1972,"Bulgaria ",
"BGR",1973,"Bulgaria ",
"BGR",1974,"Bulgaria ",
"BGR",1975,"Bulgaria ",
"BGR",1976,"Bulgaria ",
"BGR",1977,"Bulgaria ",
"BGR",1978,"Bulgaria ",
"BGR",1979,"Bulgaria ",
"BGR",1980,"Bulgaria ",
"BGR",1981,"Bulgaria ",
"BGR",1982,"Bulgaria ",
"BGR",1983,"Bulgaria ",
"BGR",1984,"Bulgaria ",
"BGR",1985,"Bulgaria ",.56
"BGR",1986,"Bulgaria ",.56
"BGR",1987,"Bulgaria ",.56
"BGR",1988,"Bulgaria ",.56
"BGR",1989,"Bulgaria ",.56
"BGR",1990,"Bulgaria ",.56
"BGR",1991,"Bulgaria ",.56
"BGR",1992,"Bulgaria ",.56
"BGR",1993,"Bulgaria ",.56
"BGR",1994,"Bulgaria ",.56
"BGR",1995,"Bulgaria ",.56
"BGR",1996,"Bulgaria ",.56
