"iso2c","year","country","GFDDDI01","GFDDDI03","GFDDDI04","GFDDDI05","GFDDDI06","GFDDDI07","GFDDDI08","GFDDDI11","GFDDDI14","GFDDEI02","GFDDEI08","GFDDOI02","GFDDOI07","GFDDSI04","Rep_GFDDDI01","Rep_GFDDDI03","Rep_GFDDDI04","Rep_GFDDDI05","Rep_GFDDDI06","Rep_GFDDDI07","Rep_GFDDDI08","Rep_GFDDDI11","Rep_GFDDDI14","Rep_GFDDEI02","Rep_GFDDEI08","Rep_GFDDOI02","Rep_GFDDOI07","Rep_GFDDSI04"
"AD",1990,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1991,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1992,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1993,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1994,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1995,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1996,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1997,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1998,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",1999,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2000,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2001,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2002,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2003,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2004,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2005,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2006,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2007,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2008,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2009,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2010,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",2011,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE",1990,"United Arab Emirates",NA,NA,99.35802,NA,NA,NA,NA,NA,25.2051,NA,7.64,NA,20554.88,87.46829,0,0,1,0,0,0,0,0,1,0,1,0,1,1
"AE",1991,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,26.75643,NA,9.126,NA,22844.13,81.94858,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",1992,"United Arab Emirates",NA,NA,99.3596,NA,NA,NA,NA,NA,26.98431,NA,9.405,NA,23224.92,83.4014,0,0,1,0,0,0,0,0,1,0,1,0,1,1
"AE",1993,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,28.26053,NA,11.6,NA,22247.28,91.94078,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",1994,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,29.32906,NA,13.689,NA,23378.88,94.17146,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",1995,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,29.73917,NA,12.669,NA,25129.92,95.73357,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",1996,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,29.22949,NA,9.44,NA,25990.2,98.44341,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",1997,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,31.07685,NA,8.067,NA,27866.35,102.8431,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",1998,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,36.85852,NA,10.521,NA,28575.3,112.5965,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",1999,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,35.56522,4.907,10.511,NA,31015.76,110.1906,0,0,0,0,0,0,0,0,1,1,1,0,1,1
"AE",2000,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,31.27833,3.537,7.082,NA,34596.46,102.6062,0,0,0,0,0,0,0,0,1,1,1,0,1,1
"AE",2001,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,34.41589,4.449,4.294,NA,41976.7,89.7826,0,0,0,0,0,0,0,0,1,1,1,0,1,1
"AE",2002,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,36.11555,NA,5.646,NA,45510.27,90.28619,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",2003,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,36.17949,NA,7.532,NA,51604.64,88.32267,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",2004,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,37.72346,NA,8.411,NA,61888,88.12353,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"AE",2005,"United Arab Emirates",NA,NA,99.32504,NA,NA,NA,NA,NA,43.76542,NA,10.078,NA,78070.84,94.60368,0,0,1,0,0,0,0,0,1,0,1,0,1,1
"AE",2006,"United Arab Emirates",NA,NA,99.86837,NA,NA,NA,NA,2.985,47.29638,NA,10.811,NA,93811.23,102.2633,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"AE",2007,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,3.358,55.9872,NA,12.105,NA,127695.7,98.37706,0,0,0,0,0,0,0,1,1,0,1,0,1,1
"AE",2008,"United Arab Emirates",58.64227,NA,94.3488,55.9828,NA,NA,53.1599,2.837,67.21545,NA,12.216,53.1599,152073,121.9124,1,0,1,1,0,0,1,1,1,0,1,1,1,1
"AE",2009,"United Arab Emirates",78.32092,NA,90.14101,70.90549,8.107748,0.341,67.18819,3.734,79.22513,NA,19.116,67.18819,162602.1,111.7428,1,0,1,1,1,1,1,1,1,0,1,1,1,1
"AE",2010,"United Arab Emirates",72.14364,NA,90.36929,69.79665,9.75891,NA,66.33266,3.801,75.03867,NA,19.161,66.33266,170106.6,105.9067,1,0,1,1,1,0,1,1,1,0,1,1,1,1
"AE",2011,"United Arab Emirates",60.78125,NA,91.49295,60.82412,7.75174,NA,57.80017,NA,63.98566,NA,18.351,57.80017,173483.5,104.442,1,0,1,1,1,0,1,0,1,0,1,1,1,1
"AT",1990,"Austria",85.69134,NA,99.66595,83.65343,0.3852169,NA,77.13564,NA,89.8521,NA,31.922,77.13564,198388.8,111.6604,1,0,1,1,1,0,1,0,1,0,1,1,1,1
"AT",1991,"Austria",87.50947,NA,99.66086,84.52074,0.3996172,NA,78.06734,NA,90.65542,NA,31.358,78.06734,206675.4,112.5114,1,0,1,1,1,0,1,0,1,0,1,1,1,1
"AT",1992,"Austria",88.73878,NA,99.65856,85.69178,0.4060164,NA,79.19494,NA,91.17126,NA,29.997,79.19494,202085.8,111.6024,1,0,1,1,1,0,1,0,1,0,1,1,1,1
